"D","Delta","EDD_order","P","SPT_order","TT_EDD","TT_SPT","d_by_rank","d_multiset","instance_id","n","p_by_rank","panel","tau_den","tau_num"
"16","0","[1,2,3,4]","14","[1,2,3,4]","9","9","[1,3,5,7]","[1,3,5,7]","A_o001_r00001","4","[1,2,4,7]","A","7","5"
"16","-3","[1,2,4,3]","14","[1,2,3,4]","12","9","[1,3,7,5]","[1,3,5,7]","A_o001_r00002","4","[1,2,4,7]","A","7","5"
"16","","[1,3,2,4]","14","[1,2,3,4]","","","[1,5,3,7]","[1,3,5,7]","A_o001_r00003","4","[1,2,4,7]","A","7","5"
"16","-6","[1,4,2,3]","14","[1,2,3,4]","17","11","[1,5,7,3]","[1,3,5,7]","A_o001_r00004","4","[1,2,4,7]","A","7","5"
"16","-3","[1,3,4,2]","14","[1,2,3,4]","16","13","[1,7,3,5]","[1,3,5,7]","A_o001_r00005","4","[1,2,4,7]","A","7","5"
"16","-6","[1,4,3,2]","14","[1,2,3,4]","19","13","[1,7,5,3]","[1,3,5,7]","A_o001_r00006","4","[1,2,4,7]","A","7","5"
"16","1","[2,1,3,4]","14","[1,2,3,4]","10","11","[3,1,5,7]","[1,3,5,7]","A_o001_r00007","4","[1,2,4,7]","A","7","5"
"16","-2","[2,1,4,3]","14","[1,2,3,4]","13","11","[3,1,7,5]","[1,3,5,7]","A_o001_r00008","4","[1,2,4,7]","A","7","5"
"16","","[3,1,2,4]","14","[1,2,3,4]","","","[3,5,1,7]","[1,3,5,7]","A_o001_r00009","4","[1,2,4,7]","A","7","5"
"16","-10","[4,1,2,3]","14","[1,2,3,4]","23","13","[3,5,7,1]","[1,3,5,7]","A_o001_r00010","4","[1,2,4,7]","A","7","5"
"16","-4","[3,1,4,2]","14","[1,2,3,4]","19","15","[3,7,1,5]","[1,3,5,7]","A_o001_r00011","4","[1,2,4,7]","A","7","5"
"16","-10","[4,1,3,2]","14","[1,2,3,4]","25","15","[3,7,5,1]","[1,3,5,7]","A_o001_r00012","4","[1,2,4,7]","A","7","5"
"16","0","[2,3,1,4]","14","[1,2,3,4]","13","13","[5,1,3,7]","[1,3,5,7]","A_o001_r00013","4","[1,2,4,7]","A","7","5"
"16","-6","[2,4,1,3]","14","[1,2,3,4]","19","13","[5,1,7,3]","[1,3,5,7]","A_o001_r00014","4","[1,2,4,7]","A","7","5"
"16","","[3,2,1,4]","14","[1,2,3,4]","","","[5,3,1,7]","[1,3,5,7]","A_o001_r00015","4","[1,2,4,7]","A","7","5"
"16","","[4,2,1,3]","14","[1,2,3,4]","","","[5,3,7,1]","[1,3,5,7]","A_o001_r00016","4","[1,2,4,7]","A","7","5"
"16","-8","[3,4,1,2]","14","[1,2,3,4]","25","17","[5,7,1,3]","[1,3,5,7]","A_o001_r00017","4","[1,2,4,7]","A","7","5"
"16","-11","[4,3,1,2]","14","[1,2,3,4]","28","17","[5,7,3,1]","[1,3,5,7]","A_o001_r00018","4","[1,2,4,7]","A","7","5"
"16","-4","[2,3,4,1]","14","[1,2,3,4]","19","15","[7,1,3,5]","[1,3,5,7]","A_o001_r00019","4","[1,2,4,7]","A","7","5"
"16","-7","[2,4,3,1]","14","[1,2,3,4]","22","15","[7,1,5,3]","[1,3,5,7]","A_o001_r00020","4","[1,2,4,7]","A","7","5"
"16","-6","[3,2,4,1]","14","[1,2,3,4]","21","15","[7,3,1,5]","[1,3,5,7]","A_o001_r00021","4","[1,2,4,7]","A","7","5"
"16","-12","[4,2,3,1]","14","[1,2,3,4]","27","15","[7,3,5,1]","[1,3,5,7]","A_o001_r00022","4","[1,2,4,7]","A","7","5"
"16","-9","[3,4,2,1]","14","[1,2,3,4]","26","17","[7,5,1,3]","[1,3,5,7]","A_o001_r00023","4","[1,2,4,7]","A","7","5"
"16","-12","[4,3,2,1]","14","[1,2,3,4]","29","17","[7,5,3,1]","[1,3,5,7]","A_o001_r00024","4","[1,2,4,7]","A","7","5"
"18","0","[1,2,3,4]","14","[1,2,3,4]","7","7","[1,3,5,9]","[1,3,5,9]","A_o002_r00025","4","[1,2,4,7]","A","28","19"
"18","-1","[1,2,4,3]","14","[1,2,3,4]","10","9","[1,3,9,5]","[1,3,5,9]","A_o002_r00026","4","[1,2,4,7]","A","28","19"
"18","","[1,3,2,4]","14","[1,2,3,4]","","","[1,5,3,9]","[1,3,5,9]","A_o002_r00027","4","[1,2,4,7]","A","28","19"
"18","-4","[1,4,2,3]","14","[1,2,3,4]","15","11","[1,5,9,3]","[1,3,5,9]","A_o002_r00028","4","[1,2,4,7]","A","28","19"
"18","-1","[1,3,4,2]","14","[1,2,3,4]","14","13","[1,9,3,5]","[1,3,5,9]","A_o002_r00029","4","[1,2,4,7]","A","28","19"
"18","-4","[1,4,3,2]","14","[1,2,3,4]","17","13","[1,9,5,3]","[1,3,5,9]","A_o002_r00030","4","[1,2,4,7]","A","28","19"
"18","1","[2,1,3,4]","14","[1,2,3,4]","8","9","[3,1,5,9]","[1,3,5,9]","A_o002_r00031","4","[1,2,4,7]","A","28","19"
"18","0","[2,1,4,3]","14","[1,2,3,4]","11","11","[3,1,9,5]","[1,3,5,9]","A_o002_r00032","4","[1,2,4,7]","A","28","19"
