"D","EDD_order","P","SPT_order","d_by_rank","d_multiset","instance_id","n","p_by_rank","panel","tau_den","tau_num"
"16","[1,2,3,4]","14","[1,2,3,4]","[1,3,5,7]","[1,3,5,7]","A_o001_r00001","4","[1,2,4,7]","A","7","5"
"16","[1,2,4,3]","14","[1,2,3,4]","[1,3,7,5]","[1,3,5,7]","A_o001_r00002","4","[1,2,4,7]","A","7","5"
"16","[1,3,2,4]","14","[1,2,3,4]","[1,5,3,7]","[1,3,5,7]","A_o001_r00003","4","[1,2,4,7]","A","7","5"
"16","[1,4,2,3]","14","[1,2,3,4]","[1,5,7,3]","[1,3,5,7]","A_o001_r00004","4","[1,2,4,7]","A","7","5"
"16","[1,3,4,2]","14","[1,2,3,4]","[1,7,3,5]","[1,3,5,7]","A_o001_r00005","4","[1,2,4,7]","A","7","5"
"16","[1,4,3,2]","14","[1,2,3,4]","[1,7,5,3]","[1,3,5,7]","A_o001_r00006","4","[1,2,4,7]","A","7","5"
"16","[2,1,3,4]","14","[1,2,3,4]","[3,1,5,7]","[1,3,5,7]","A_o001_r00007","4","[1,2,4,7]","A","7","5"
"16","[2,1,4,3]","14","[1,2,3,4]","[3,1,7,5]","[1,3,5,7]","A_o001_r00008","4","[1,2,4,7]","A","7","5"
"16","[3,1,2,4]","14","[1,2,3,4]","[3,5,1,7]","[1,3,5,7]","A_o001_r00009","4","[1,2,4,7]","A","7","5"
"16","[4,1,2,3]","14","[1,2,3,4]","[3,5,7,1]","[1,3,5,7]","A_o001_r00010","4","[1,2,4,7]","A","7","5"
"16","[3,1,4,2]","14","[1,2,3,4]","[3,7,1,5]","[1,3,5,7]","A_o001_r00011","4","[1,2,4,7]","A","7","5"
"16","[4,1,3,2]","14","[1,2,3,4]","[3,7,5,1]","[1,3,5,7]","A_o001_r00012","4","[1,2,4,7]","A","7","5"
"16","[2,3,1,4]","14","[1,2,3,4]","[5,1,3,7]","[1,3,5,7]","A_o001_r00013","4","[1,2,4,7]","A","7","5"
"16","[2,4,1,3]","14","[1,2,3,4]","[5,1,7,3]","[1,3,5,7]","A_o001_r00014","4","[1,2,4,7]","A","7","5"
"16","[3,2,1,4]","14","[1,2,3,4]","[5,3,1,7]","[1,3,5,7]","A_o001_r00015","4","[1,2,4,7]","A","7","5"
"16","[4,2,1,3]","14","[1,2,3,4]","[5,3,7,1]","[1,3,5,7]","A_o001_r00016","4","[1,2,4,7]","A","7","5"
"16","[3,4,1,2]","14","[1,2,3,4]","[5,7,1,3]","[1,3,5,7]","A_o001_r00017","4","[1,2,4,7]","A","7","5"
"16","[4,3,1,2]","14","[1,2,3,4]","[5,7,3,1]","[1,3,5,7]","A_o001_r00018","4","[1,2,4,7]","A","7","5"
"16","[2,3,4,1]","14","[1,2,3,4]","[7,1,3,5]","[1,3,5,7]","A_o001_r00019","4","[1,2,4,7]","A","7","5"
"16","[2,4,3,1]","14","[1,2,3,4]","[7,1,5,3]","[1,3,5,7]","A_o001_r00020","4","[1,2,4,7]","A","7","5"
"16","[3,2,4,1]","14","[1,2,3,4]","[7,3,1,5]","[1,3,5,7]","A_o001_r00021","4","[1,2,4,7]","A","7","5"
"16","[4,2,3,1]","14","[1,2,3,4]","[7,3,5,1]","[1,3,5,7]","A_o001_r00022","4","[1,2,4,7]","A","7","5"
"16","[3,4,2,1]","14","[1,2,3,4]","[7,5,1,3]","[1,3,5,7]","A_o001_r00023","4","[1,2,4,7]","A","7","5"
"16","[4,3,2,1]","14","[1,2,3,4]","[7,5,3,1]","[1,3,5,7]","A_o001_r00024","4","[1,2,4,7]","A","7","5"
"18","[1,2,3,4]","14","[1,2,3,4]","[1,3,5,9]","[1,3,5,9]","A_o002_r00025","4","[1,2,4,7]","A","28","19"
"18","[1,2,4,3]","14","[1,2,3,4]","[1,3,9,5]","[1,3,5,9]","A_o002_r00026","4","[1,2,4,7]","A","28","19"
"18","[1,3,2,4]","14","[1,2,3,4]","[1,5,3,9]","[1,3,5,9]","A_o002_r00027","4","[1,2,4,7]","A","28","19"
"18","[1,4,2,3]","14","[1,2,3,4]","[1,5,9,3]","[1,3,5,9]","A_o002_r00028","4","[1,2,4,7]","A","28","19"
"18","[1,3,4,2]","14","[1,2,3,4]","[1,9,3,5]","[1,3,5,9]","A_o002_r00029","4","[1,2,4,7]","A","28","19"
"18","[1,4,3,2]","14","[1,2,3,4]","[1,9,5,3]","[1,3,5,9]","A_o002_r00030","4","[1,2,4,7]","A","28","19"
"18","[2,1,3,4]","14","[1,2,3,4]","[3,1,5,9]","[1,3,5,9]","A_o002_r00031","4","[1,2,4,7]","A","28","19"
"18","[2,1,4,3]","14","[1,2,3,4]","[3,1,9,5]","[1,3,5,9]","A_o002_r00032","4","[1,2,4,7]","A","28","19"
"18","[3,1,2,4]","14","[1,2,3,4]","[3,5,1,9]","[1,3,5,9]","A_o002_r00033","4","[1,2,4,7]","A","28","19"
"18","[4,1,2,3]","14","[1,2,3,4]","[3,5,9,1]","[1,3,5,9]","A_o002_r00034","4","[1,2,4,7]","A","28","19"
"18","[3,1,4,2]","14","[1,2,3,4]","[3,9,1,5]","[1,3,5,9]","A_o002_r00035","4","[1,2,4,7]","A","28","19"
"18","[4,1,3,2]","14","[1,2,3,4]","[3,9,5,1]","[1,3,5,9]","A_o002_r00036","4","[1,2,4,7]","A","28","19"
"18","[2,3,1,4]","14","[1,2,3,4]","[5,1,3,9]","[1,3,5,9]","A_o002_r00037","4","[1,2,4,7]","A","28","19"
"18","[2,4,1,3]","14","[1,2,3,4]","[5,1,9,3]","[1,3,5,9]","A_o002_r00038","4","[1,2,4,7]","A","28","19"
"18","[3,2,1,4]","14","[1,2,3,4]","[5,3,1,9]","[1,3,5,9]","A_o002_r00039","4","[1,2,4,7]","A","28","19"
"18","[4,2,1,3]","14","[1,2,3,4]","[5,3,9,1]","[1,3,5,9]","A_o002_r00040","4","[1,2,4,7]","A","28","19"
"18","[3,4,1,2]","14","[1,2,3,4]","[5,9,1,3]","[1,3,5,9]","A_o002_r00041","4","[1,2,4,7]","A","28","19"
"18","[4,3,1,2]","14","[1,2,3,4]","[5,9,3,1]","[1,3,5,9]","A_o002_r00042","4","[1,2,4,7]","A","28","19"
"18","[2,3,4,1]","14","[1,2,3,4]","[9,1,3,5]","[1,3,5,9]","A_o002_r00043","4","[1,2,4,7]","A","28","19"
"18","[2,4,3,1]","14","[1,2,3,4]","[9,1,5,3]","[1,3,5,9]","A_o002_r00044","4","[1,2,4,7]","A","28","19"
"18","[3,2,4,1]","14","[1,2,3,4]","[9,3,1,5]","[1,3,5,9]","A_o002_r00045","4","[1,2,4,7]","A","28","19"
"18","[4,2,3,1]","14","[1,2,3,4]","[9,3,5,1]","[1,3,5,9]","A_o002_r00046","4","[1,2,4,7]","A","28","19"
"18","[3,4,2,1]","14","[1,2,3,4]","[9,5,1,3]","[1,3,5,9]","A_o002_r00047","4","[1,2,4,7]","A","28","19"
"18","[4,3,2,1]","14","[1,2,3,4]","[9,5,3,1]","[1,3,5,9]","A_o002_r00048","4","[1,2,4,7]","A","28","19"
"20","[1,2,3,4]","14","[1,2,3,4]","[1,3,5,11]","[1,3,5,11]","A_o003_r00049","4","[1,2,4,7]","A","14","9"
"20","[1,2,4,3]","14","[1,2,3,4]","[1,3,11,5]","[1,3,5,11]","A_o003_r00050","4","[1,2,4,7]","A","14","9"
"20","[1,3,2,4]","14","[1,2,3,4]","[1,5,3,11]","[1,3,5,11]","A_o003_r00051","4","[1,2,4,7]","A","14","9"
"20","[1,4,2,3]","14","[1,2,3,4]","[1,5,11,3]","[1,3,5,11]","A_o003_r00052","4","[1,2,4,7]","A","14","9"
"20","[1,3,4,2]","14","[1,2,3,4]","[1,11,3,5]","[1,3,5,11]","A_o003_r00053","4","[1,2,4,7]","A","14","9"
"20","[1,4,3,2]","14","[1,2,3,4]","[1,11,5,3]","[1,3,5,11]","A_o003_r00054","4","[1,2,4,7]","A","14","9"
"20","[2,1,3,4]","14","[1,2,3,4]","[3,1,5,11]","[1,3,5,11]","A_o003_r00055","4","[1,2,4,7]","A","14","9"
"20","[2,1,4,3]","14","[1,2,3,4]","[3,1,11,5]","[1,3,5,11]","A_o003_r00056","4","[1,2,4,7]","A","14","9"
"20","[3,1,2,4]","14","[1,2,3,4]","[3,5,1,11]","[1,3,5,11]","A_o003_r00057","4","[1,2,4,7]","A","14","9"
"20","[4,1,2,3]","14","[1,2,3,4]","[3,5,11,1]","[1,3,5,11]","A_o003_r00058","4","[1,2,4,7]","A","14","9"
"20","[3,1,4,2]","14","[1,2,3,4]","[3,11,1,5]","[1,3,5,11]","A_o003_r00059","4","[1,2,4,7]","A","14","9"
"20","[4,1,3,2]","14","[1,2,3,4]","[3,11,5,1]","[1,3,5,11]","A_o003_r00060","4","[1,2,4,7]","A","14","9"
"20","[2,3,1,4]","14","[1,2,3,4]","[5,1,3,11]","[1,3,5,11]","A_o003_r00061","4","[1,2,4,7]","A","14","9"
"20","[2,4,1,3]","14","[1,2,3,4]","[5,1,11,3]","[1,3,5,11]","A_o003_r00062","4","[1,2,4,7]","A","14","9"
"20","[3,2,1,4]","14","[1,2,3,4]","[5,3,1,11]","[1,3,5,11]","A_o003_r00063","4","[1,2,4,7]","A","14","9"
"20","[4,2,1,3]","14","[1,2,3,4]","[5,3,11,1]","[1,3,5,11]","A_o003_r00064","4","[1,2,4,7]","A","14","9"
