"D","Delta","EDD_order","P","SPT_order","TT_EDD","TT_SPT","d_by_rank","d_multiset","instance_id","n","p_by_rank","panel","tau_den","tau_num"
"25","0","[1,2,3,4,5]","25","[1,2,3,4,5]","25","25","[1,3,5,7,9]","[1,3,5,7,9]","B_o001_r00361","5","[1,2,4,7,11]","B","5","4"
"25","-4","[1,2,3,5,4]","25","[1,2,3,4,5]","29","25","[1,3,5,9,7]","[1,3,5,7,9]","B_o001_r00362","5","[1,2,4,7,11]","B","5","4"
"25","-3","[1,2,4,3,5]","25","[1,2,3,4,5]","28","25","[1,3,7,5,9]","[1,3,5,7,9]","B_o001_r00363","5","[1,2,4,7,11]","B","5","4"
"25","-11","[1,2,5,3,4]","25","[1,2,3,4,5]","36","25","[1,3,7,9,5]","[1,3,5,7,9]","B_o001_r00364","5","[1,2,4,7,11]","B","5","4"
"25","-8","[1,2,4,5,3]","25","[1,2,3,4,5]","35","27","[1,3,9,5,7]","[1,3,5,7,9]","B_o001_r00365","5","[1,2,4,7,11]","B","5","4"
"25","-12","[1,2,5,4,3]","25","[1,2,3,4,5]","39","27","[1,3,9,7,5]","[1,3,5,7,9]","B_o001_r00366","5","[1,2,4,7,11]","B","5","4"
"25","","[1,3,2,4,5]","25","[1,2,3,4,5]","","","[1,5,3,7,9]","[1,3,5,7,9]","B_o001_r00367","5","[1,2,4,7,11]","B","5","4"
"25","","[1,3,2,5,4]","25","[1,2,3,4,5]","","","[1,5,3,9,7]","[1,3,5,7,9]","B_o001_r00368","5","[1,2,4,7,11]","B","5","4"
"25","-6","[1,4,2,3,5]","25","[1,2,3,4,5]","33","27","[1,5,7,3,9]","[1,3,5,7,9]","B_o001_r00369","5","[1,2,4,7,11]","B","5","4"
"25","-18","[1,5,2,3,4]","25","[1,2,3,4,5]","45","27","[1,5,7,9,3]","[1,3,5,7,9]","B_o001_r00370","5","[1,2,4,7,11]","B","5","4"
"25","-11","[1,4,2,5,3]","25","[1,2,3,4,5]","40","29","[1,5,9,3,7]","[1,3,5,7,9]","B_o001_r00371","5","[1,2,4,7,11]","B","5","4"
