D,EDD_order,P,SPT_order,d_by_rank,d_multiset,instance_id,n,p_by_rank,tau_den,tau_num
6,"[1,2,3]",6,"[1,2,3]","[1,2,3]","[1,2,3]",n3_o001_r0001,3,"[1,2,3]",3,2
6,"[1,3,2]",6,"[1,2,3]","[1,3,2]","[1,2,3]",n3_o001_r0002,3,"[1,2,3]",3,2
6,"[2,1,3]",6,"[1,2,3]","[2,1,3]","[1,2,3]",n3_o001_r0003,3,"[1,2,3]",3,2
6,"[3,1,2]",6,"[1,2,3]","[2,3,1]","[1,2,3]",n3_o001_r0004,3,"[1,2,3]",3,2
6,"[2,3,1]",6,"[1,2,3]","[3,1,2]","[1,2,3]",n3_o001_r0005,3,"[1,2,3]",3,2
6,"[3,2,1]",6,"[1,2,3]","[3,2,1]","[1,2,3]",n3_o001_r0006,3,"[1,2,3]",3,2
7,"[1,2,3]",6,"[1,2,3]","[1,2,4]","[1,2,4]",n3_o002_r0007,3,"[1,2,3]",18,11
7,"[1,3,2]",6,"[1,2,3]","[1,4,2]","[1,2,4]",n3_o002_r0008,3,"[1,2,3]",18,11
7,"[2,1,3]",6,"[1,2,3]","[2,1,4]","[1,2,4]",n3_o002_r0009,3,"[1,2,3]",18,11
7,"[3,1,2]",6,"[1,2,3]","[2,4,1]","[1,2,4]",n3_o002_r0010,3,"[1,2,3]",18,11
7,"[2,3,1]",6,"[1,2,3]","[4,1,2]","[1,2,4]",n3_o002_r0011,3,"[1,2,3]",18,11
7,"[3,2,1]",6,"[1,2,3]","[4,2,1]","[1,2,4]",n3_o002_r0012,3,"[1,2,3]",18,11
8,"[1,2,3]",6,"[1,2,3]","[1,2,5]","[1,2,5]",n3_o003_r0013,3,"[1,2,3]",9,5
8,"[1,3,2]",6,"[1,2,3]","[1,5,2]","[1,2,5]",n3_o003_r0014,3,"[1,2,3]",9,5
8,"[2,1,3]",6,"[1,2,3]","[2,1,5]","[1,2,5]",n3_o003_r0015,3,"[1,2,3]",9,5
8,"[3,1,2]",6,"[1,2,3]","[2,5,1]","[1,2,5]",n3_o003_r0016,3,"[1,2,3]",9,5
8,"[2,3,1]",6,"[1,2,3]","[5,1,2]","[1,2,5]",n3_o003_r0017,3,"[1,2,3]",9,5
8,"[3,2,1]",6,"[1,2,3]","[5,2,1]","[1,2,5]",n3_o003_r0018,3,"[1,2,3]",9,5
8,"[1,2,3]",6,"[1,2,3]","[1,3,4]","[1,3,4]",n3_o004_r0019,3,"[1,2,3]",9,5
8,"[1,3,2]",6,"[1,2,3]","[1,4,3]","[1,3,4]",n3_o004_r0020,3,"[1,2,3]",9,5
8,"[2,1,3]",6,"[1,2,3]","[3,1,4]","[1,3,4]",n3_o004_r0021,3,"[1,2,3]",9,5
8,"[3,1,2]",6,"[1,2,3]","[3,4,1]","[1,3,4]",n3_o004_r0022,3,"[1,2,3]",9,5
8,"[2,3,1]",6,"[1,2,3]","[4,1,3]","[1,3,4]",n3_o004_r0023,3,"[1,2,3]",9,5
8,"[3,2,1]",6,"[1,2,3]","[4,3,1]","[1,3,4]",n3_o004_r0024,3,"[1,2,3]",9,5
9,"[1,2,3]",6,"[1,2,3]","[1,3,5]","[1,3,5]",n3_o005_r0025,3,"[1,2,3]",2,1
9,"[1,3,2]",6,"[1,2,3]","[1,5,3]","[1,3,5]",n3_o005_r0026,3,"[1,2,3]",2,1
9,"[2,1,3]",6,"[1,2,3]","[3,1,5]","[1,3,5]",n3_o005_r0027,3,"[1,2,3]",2,1
9,"[3,1,2]",6,"[1,2,3]","[3,5,1]","[1,3,5]",n3_o005_r0028,3,"[1,2,3]",2,1
9,"[2,3,1]",6,"[1,2,3]","[5,1,3]","[1,3,5]",n3_o005_r0029,3,"[1,2,3]",2,1
9,"[3,2,1]",6,"[1,2,3]","[5,3,1]","[1,3,5]",n3_o005_r0030,3,"[1,2,3]",2,1
10,"[1,2,3]",6,"[1,2,3]","[1,4,5]","[1,4,5]",n3_o006_r0031,3,"[1,2,3]",9,4
10,"[1,3,2]",6,"[1,2,3]","[1,5,4]","[1,4,5]",n3_o006_r0032,3,"[1,2,3]",9,4
10,"[2,1,3]",6,"[1,2,3]","[4,1,5]","[1,4,5]",n3_o006_r0033,3,"[1,2,3]",9,4
10,"[3,1,2]",6,"[1,2,3]","[4,5,1]","[1,4,5]",n3_o006_r0034,3,"[1,2,3]",9,4
10,"[2,3,1]",6,"[1,2,3]","[5,1,4]","[1,4,5]",n3_o006_r0035,3,"[1,2,3]",9,4
10,"[3,2,1]",6,"[1,2,3]","[5,4,1]","[1,4,5]",n3_o006_r0036,3,"[1,2,3]",9,4
9,"[1,2,3]",6,"[1,2,3]","[2,3,4]","[2,3,4]",n3_o007_r0037,3,"[1,2,3]",2,1
9,"[1,3,2]",6,"[1,2,3]","[2,4,3]","[2,3,4]",n3_o007_r0038,3,"[1,2,3]",2,1
9,"[2,1,3]",6,"[1,2,3]","[3,2,4]","[2,3,4]",n3_o007_r0039,3,"[1,2,3]",2,1
9,"[3,1,2]",6,"[1,2,3]","[3,4,2]","[2,3,4]",n3_o007_r0040,3,"[1,2,3]",2,1
9,"[2,3,1]",6,"[1,2,3]","[4,2,3]","[2,3,4]",n3_o007_r0041,3,"[1,2,3]",2,1
9,"[3,2,1]",6,"[1,2,3]","[4,3,2]","[2,3,4]",n3_o007_r0042,3,"[1,2,3]",2,1
10,"[1,2,3]",6,"[1,2,3]","[2,3,5]","[2,3,5]",n3_o008_r0043,3,"[1,2,3]",9,4
10,"[1,3,2]",6,"[1,2,3]","[2,5,3]","[2,3,5]",n3_o008_r0044,3,"[1,2,3]",9,4
10,"[2,1,3]",6,"[1,2,3]","[3,2,5]","[2,3,5]",n3_o008_r0045,3,"[1,2,3]",9,4
10,"[3,1,2]",6,"[1,2,3]","[3,5,2]","[2,3,5]",n3_o008_r0046,3,"[1,2,3]",9,4
10,"[2,3,1]",6,"[1,2,3]","[5,2,3]","[2,3,5]",n3_o008_r0047,3,"[1,2,3]",9,4
10,"[3,2,1]",6,"[1,2,3]","[5,3,2]","[2,3,5]",n3_o008_r0048,3,"[1,2,3]",9,4
11,"[1,2,3]",6,"[1,2,3]","[2,4,5]","[2,4,5]",n3_o009_r0049,3,"[1,2,3]",18,7
11,"[1,3,2]",6,"[1,2,3]","[2,5,4]","[2,4,5]",n3_o009_r0050,3,"[1,2,3]",18,7
11,"[2,1,3]",6,"[1,2,3]","[4,2,5]","[2,4,5]",n3_o009_r0051,3,"[1,2,3]",18,7
11,"[3,1,2]",6,"[1,2,3]","[4,5,2]","[2,4,5]",n3_o009_r0052,3,"[1,2,3]",18,7
11,"[2,3,1]",6,"[1,2,3]","[5,2,4]","[2,4,5]",n3_o009_r0053,3,"[1,2,3]",18,7
11,"[3,2,1]",6,"[1,2,3]","[5,4,2]","[2,4,5]",n3_o009_r0054,3,"[1,2,3]",18,7
12,"[1,2,3]",6,"[1,2,3]","[3,4,5]","[3,4,5]",n3_o010_r0055,3,"[1,2,3]",3,1
12,"[1,3,2]",6,"[1,2,3]","[3,5,4]","[3,4,5]",n3_o010_r0056,3,"[1,2,3]",3,1
12,"[2,1,3]",6,"[1,2,3]","[4,3,5]","[3,4,5]",n3_o010_r0057,3,"[1,2,3]",3,1
12,"[3,1,2]",6,"[1,2,3]","[4,5,3]","[3,4,5]",n3_o010_r0058,3,"[1,2,3]",3,1
12,"[2,3,1]",6,"[1,2,3]","[5,3,4]","[3,4,5]",n3_o010_r0059,3,"[1,2,3]",3,1
12,"[3,2,1]",6,"[1,2,3]","[5,4,3]","[3,4,5]",n3_o010_r0060,3,"[1,2,3]",3,1
10,"[1,2,3,4]",10,"[1,2,3,4]","[1,2,3,4]","[1,2,3,4]",n4_o001_r0061,4,"[1,2,3,4]",4,3
10,"[1,2,4,3]",10,"[1,2,3,4]","[1,2,4,3]","[1,2,3,4]",n4_o001_r0062,4,"[1,2,3,4]",4,3
10,"[1,3,2,4]",10,"[1,2,3,4]","[1,3,2,4]","[1,2,3,4]",n4_o001_r0063,4,"[1,2,3,4]",4,3
10,"[1,4,2,3]",10,"[1,2,3,4]","[1,3,4,2]","[1,2,3,4]",n4_o001_r0064,4,"[1,2,3,4]",4,3
10,"[1,3,4,2]",10,"[1,2,3,4]","[1,4,2,3]","[1,2,3,4]",n4_o001_r0065,4,"[1,2,3,4]",4,3
10,"[1,4,3,2]",10,"[1,2,3,4]","[1,4,3,2]","[1,2,3,4]",n4_o001_r0066,4,"[1,2,3,4]",4,3
10,"[2,1,3,4]",10,"[1,2,3,4]","[2,1,3,4]","[1,2,3,4]",n4_o001_r0067,4,"[1,2,3,4]",4,3
10,"[2,1,4,3]",10,"[1,2,3,4]","[2,1,4,3]","[1,2,3,4]",n4_o001_r0068,4,"[1,2,3,4]",4,3
10,"[3,1,2,4]",10,"[1,2,3,4]","[2,3,1,4]","[1,2,3,4]",n4_o001_r0069,4,"[1,2,3,4]",4,3
10,"[4,1,2,3]",10,"[1,2,3,4]","[2,3,4,1]","[1,2,3,4]",n4_o001_r0070,4,"[1,2,3,4]",4,3
10,"[3,1,4,2]",10,"[1,2,3,4]","[2,4,1,3]","[1,2,3,4]",n4_o001_r0071,4,"[1,2,3,4]",4,3
10,"[4,1,3,2]",10,"[1,2,3,4]","[2,4,3,1]","[1,2,3,4]",n4_o001_r0072,4,"[1,2,3,4]",4,3
10,"[2,3,1,4]",10,"[1,2,3,4]","[3,1,2,4]","[1,2,3,4]",n4_o001_r0073,4,"[1,2,3,4]",4,3
10,"[2,4,1,3]",10,"[1,2,3,4]","[3,1,4,2]","[1,2,3,4]",n4_o001_r0074,4,"[1,2,3,4]",4,3
10,"[3,2,1,4]",10,"[1,2,3,4]","[3,2,1,4]","[1,2,3,4]",n4_o001_r0075,4,"[1,2,3,4]",4,3
10,"[4,2,1,3]",10,"[1,2,3,4]","[3,2,4,1]","[1,2,3,4]",n4_o001_r0076,4,"[1,2,3,4]",4,3
10,"[3,4,1,2]",10,"[1,2,3,4]","[3,4,1,2]","[1,2,3,4]",n4_o001_r0077,4,"[1,2,3,4]",4,3
10,"[4,3,1,2]",10,"[1,2,3,4]","[3,4,2,1]","[1,2,3,4]",n4_o001_r0078,4,"[1,2,3,4]",4,3
10,"[2,3,4,1]",10,"[1,2,3,4]","[4,1,2,3]","[1,2,3,4]",n4_o001_r0079,4,"[1,2,3,4]",4,3
10,"[2,4,3,1]",10,"[1,2,3,4]","[4,1,3,2]","[1,2,3,4]",n4_o001_r0080,4,"[1,2,3,4]",4,3
10,"[3,2,4,1]",10,"[1,2,3,4]","[4,2,1,3]","[1,2,3,4]",n4_o001_r0081,4,"[1,2,3,4]",4,3
10,"[4,2,3,1]",10,"[1,2,3,4]","[4,2,3,1]","[1,2,3,4]",n4_o001_r0082,4,"[1,2,3,4]",4,3
10,"[3,4,2,1]",10,"[1,2,3,4]","[4,3,1,2]","[1,2,3,4]",n4_o001_r0083,4,"[1,2,3,4]",4,3
10,"[4,3,2,1]",10,"[1,2,3,4]","[4,3,2,1]","[1,2,3,4]",n4_o001_r0084,4,"[1,2,3,4]",4,3
11,"[1,2,3,4]",10,"[1,2,3,4]","[1,2,3,5]","[1,2,3,5]",n4_o002_r0085,4,"[1,2,3,4]",40,29
11,"[1,2,4,3]",10,"[1,2,3,4]","[1,2,5,3]","[1,2,3,5]",n4_o002_r0086,4,"[1,2,3,4]",40,29
11,"[1,3,2,4]",10,"[1,2,3,4]","[1,3,2,5]","[1,2,3,5]",n4_o002_r0087,4,"[1,2,3,4]",40,29
11,"[1,4,2,3]",10,"[1,2,3,4]","[1,3,5,2]","[1,2,3,5]",n4_o002_r0088,4,"[1,2,3,4]",40,29
11,"[1,3,4,2]",10,"[1,2,3,4]","[1,5,2,3]","[1,2,3,5]",n4_o002_r0089,4,"[1,2,3,4]",40,29
11,"[1,4,3,2]",10,"[1,2,3,4]","[1,5,3,2]","[1,2,3,5]",n4_o002_r0090,4,"[1,2,3,4]",40,29
11,"[2,1,3,4]",10,"[1,2,3,4]","[2,1,3,5]","[1,2,3,5]",n4_o002_r0091,4,"[1,2,3,4]",40,29
11,"[2,1,4,3]",10,"[1,2,3,4]","[2,1,5,3]","[1,2,3,5]",n4_o002_r0092,4,"[1,2,3,4]",40,29
11,"[3,1,2,4]",10,"[1,2,3,4]","[2,3,1,5]","[1,2,3,5]",n4_o002_r0093,4,"[1,2,3,4]",40,29
11,"[4,1,2,3]",10,"[1,2,3,4]","[2,3,5,1]","[1,2,3,5]",n4_o002_r0094,4,"[1,2,3,4]",40,29
11,"[3,1,4,2]",10,"[1,2,3,4]","[2,5,1,3]","[1,2,3,5]",n4_o002_r0095,4,"[1,2,3,4]",40,29
11,"[4,1,3,2]",10,"[1,2,3,4]","[2,5,3,1]","[1,2,3,5]",n4_o002_r0096,4,"[1,2,3,4]",40,29
11,"[2,3,1,4]",10,"[1,2,3,4]","[3,1,2,5]","[1,2,3,5]",n4_o002_r0097,4,"[1,2,3,4]",40,29
11,"[2,4,1,3]",10,"[1,2,3,4]","[3,1,5,2]","[1,2,3,5]",n4_o002_r0098,4,"[1,2,3,4]",40,29
11,"[3,2,1,4]",10,"[1,2,3,4]","[3,2,1,5]","[1,2,3,5]",n4_o002_r0099,4,"[1,2,3,4]",40,29
11,"[4,2,1,3]",10,"[1,2,3,4]","[3,2,5,1]","[1,2,3,5]",n4_o002_r0100,4,"[1,2,3,4]",40,29
11,"[3,4,1,2]",10,"[1,2,3,4]","[3,5,1,2]","[1,2,3,5]",n4_o002_r0101,4,"[1,2,3,4]",40,29
11,"[4,3,1,2]",10,"[1,2,3,4]","[3,5,2,1]","[1,2,3,5]",n4_o002_r0102,4,"[1,2,3,4]",40,29
11,"[2,3,4,1]",10,"[1,2,3,4]","[5,1,2,3]","[1,2,3,5]",n4_o002_r0103,4,"[1,2,3,4]",40,29
11,"[2,4,3,1]",10,"[1,2,3,4]","[5,1,3,2]","[1,2,3,5]",n4_o002_r0104,4,"[1,2,3,4]",40,29
11,"[3,2,4,1]",10,"[1,2,3,4]","[5,2,1,3]","[1,2,3,5]",n4_o002_r0105,4,"[1,2,3,4]",40,29
11,"[4,2,3,1]",10,"[1,2,3,4]","[5,2,3,1]","[1,2,3,5]",n4_o002_r0106,4,"[1,2,3,4]",40,29
11,"[3,4,2,1]",10,"[1,2,3,4]","[5,3,1,2]","[1,2,3,5]",n4_o002_r0107,4,"[1,2,3,4]",40,29
11,"[4,3,2,1]",10,"[1,2,3,4]","[5,3,2,1]","[1,2,3,5]",n4_o002_r0108,4,"[1,2,3,4]",40,29
12,"[1,2,3,4]",10,"[1,2,3,4]","[1,2,3,6]","[1,2,3,6]",n4_o003_r0109,4,"[1,2,3,4]",10,7
12,"[1,2,4,3]",10,"[1,2,3,4]","[1,2,6,3]","[1,2,3,6]",n4_o003_r0110,4,"[1,2,3,4]",10,7
12,"[1,3,2,4]",10,"[1,2,3,4]","[1,3,2,6]","[1,2,3,6]",n4_o003_r0111,4,"[1,2,3,4]",10,7
12,"[1,4,2,3]",10,"[1,2,3,4]","[1,3,6,2]","[1,2,3,6]",n4_o003_r0112,4,"[1,2,3,4]",10,7
12,"[1,3,4,2]",10,"[1,2,3,4]","[1,6,2,3]","[1,2,3,6]",n4_o003_r0113,4,"[1,2,3,4]",10,7
12,"[1,4,3,2]",10,"[1,2,3,4]","[1,6,3,2]","[1,2,3,6]",n4_o003_r0114,4,"[1,2,3,4]",10,7
12,"[2,1,3,4]",10,"[1,2,3,4]","[2,1,3,6]","[1,2,3,6]",n4_o003_r0115,4,"[1,2,3,4]",10,7
12,"[2,1,4,3]",10,"[1,2,3,4]","[2,1,6,3]","[1,2,3,6]",n4_o003_r0116,4,"[1,2,3,4]",10,7
