"class_id","component_id","instance_id","panel"
"WP09C00001","1","A_o001_r00023","A"
"WP09C00002","1","A_o001_r00018","A"
"WP09C00003","1","A_o001_r00004","A"
"WP09C00004","1","A_o001_r00008","A"
"WP09C00005","1","A_o001_r00020","A"
"WP09C00006","1","A_o001_r00012","A"
"WP09C00007","1","A_o001_r00002","A"
"WP09C00008","1","A_o001_r00019","A"
"WP09C00008","1","A_o001_r00021","A"
"WP09C00009","1","A_o001_r00022","A"
"WP09C00010","1","A_o001_r00007","A"
"WP09C00011","1","A_o001_r00013","A"
"WP09C00012","1","A_o001_r00014","A"
"WP09C00013","1","A_o001_r00005","A"
"WP09C00013","1","A_o001_r00011","A"
"WP09C00014","1","A_o001_r00006","A"
"WP09C00015","1","A_o001_r00001","A"
"WP09C00016","1","A_o001_r00017","A"
"WP09C00017","1","A_o001_r00024","A"
"WP09C00018","1","A_o001_r00010","A"
"WP09C00019","1","A_o002_r00047","A"
"WP09C00020","1","A_o002_r00042","A"
"WP09C00021","1","A_o002_r00032","A"
"WP09C00022","1","A_o002_r00044","A"
"WP09C00023","1","A_o002_r00036","A"
"WP09C00024","1","A_o002_r00043","A"
"WP09C00024","1","A_o002_r00045","A"
"WP09C00025","1","A_o002_r00046","A"
"WP09C00026","1","A_o002_r00034","A"
"WP09C00027","1","A_o002_r00031","A"
"WP09C00028","1","A_o002_r00028","A"
"WP09C00029","1","A_o002_r00037","A"
"WP09C00030","1","A_o002_r00038","A"
"WP09C00031","1","A_o002_r00029","A"
"WP09C00031","1","A_o002_r00035","A"
"WP09C00032","1","A_o002_r00030","A"
"WP09C00033","1","A_o002_r00026","A"
"WP09C00034","1","A_o002_r00025","A"
"WP09C00035","1","A_o002_r00041","A"
"WP09C00036","1","A_o002_r00048","A"
"WP09C00037","1","A_o003_r00071","A"
"WP09C00038","1","A_o003_r00066","A"
"WP09C00039","1","A_o003_r00058","A"
"WP09C00040","1","A_o003_r00068","A"
"WP09C00041","1","A_o003_r00060","A"
"WP09C00042","1","A_o003_r00052","A"
"WP09C00043","1","A_o003_r00062","A"
"WP09C00044","1","A_o003_r00067","A"
"WP09C00044","1","A_o003_r00069","A"
"WP09C00045","1","A_o003_r00070","A"
"WP09C00046","1","A_o003_r00055","A"
"WP09C00047","1","A_o003_r00056","A"
"WP09C00048","1","A_o003_r00061","A"
"WP09C00049","1","A_o003_r00050","A"
"WP09C00050","1","A_o003_r00053","A"
"WP09C00050","1","A_o003_r00059","A"
