"EDD_prefix_t","I_forward","I_reverse","SPT_C_a","SPT_C_b","a_p_rank","b_p_rank","class_id","d_H","d_L","observed_delta_difference","panel","predicted_delta_difference","prediction_category","prediction_magnitude","prediction_matches"
"0","A_o001_r00019","A_o001_r00021","3","7","2","3","WP09C00008","3","1","2","A","2","positive","2","True"
"0","A_o001_r00005","A_o001_r00011","1","7","1","3","WP09C00013","3","1","1","A","1","positive","1","True"
"0","A_o002_r00043","A_o002_r00045","3","7","2","3","WP09C00024","3","1","2","A","2","positive","2","True"
"0","A_o002_r00029","A_o002_r00035","1","7","1","3","WP09C00031","3","1","1","A","1","positive","1","True"
"0","A_o003_r00067","A_o003_r00069","3","7","2","3","WP09C00044","3","1","2","A","2","positive","2","True"
"0","A_o003_r00053","A_o003_r00059","1","7","1","3","WP09C00050","3","1","1","A","1","positive","1","True"
"0","A_o004_r00091","A_o004_r00093","3","7","2","3","WP09C00058","3","1","2","A","2","positive","2","True"
"0","A_o004_r00077","A_o004_r00083","1","7","1","3","WP09C00065","3","1","1","A","1","positive","1","True"
"0","A_o005_r00115","A_o005_r00117","3","7","2","3","WP09C00075","3","1","2","A","2","positive","2","True"
"0","A_o005_r00101","A_o005_r00107","1","7","1","3","WP09C00081","3","1","1","A","1","positive","1","True"
"0","A_o006_r00139","A_o006_r00141","3","7","2","3","WP09C00089","3","1","2","A","2","positive","2","True"
"0","A_o006_r00125","A_o006_r00131","1","7","1","3","WP09C00095","3","1","1","A","1","positive","1","True"
