"FULL_family_count","closure_count","equivalence_valid","instance_id","panel","reason"
"1","2","True","A_o001_r00003","A","closure_count>1"
"1","2","True","A_o001_r00009","A","closure_count>1"
"1","2","True","A_o001_r00015","A","closure_count>1"
"1","2","True","A_o001_r00016","A","closure_count>1"
"1","2","True","A_o002_r00027","A","closure_count>1"
"1","2","True","A_o002_r00033","A","closure_count>1"
"1","2","True","A_o002_r00039","A","closure_count>1"
"1","2","True","A_o002_r00040","A","closure_count>1"
"1","2","True","A_o003_r00051","A","closure_count>1"
"1","2","True","A_o003_r00057","A","closure_count>1"
"1","2","True","A_o003_r00063","A","closure_count>1"
"1","2","True","A_o003_r00064","A","closure_count>1"
"1","2","True","A_o004_r00078","A","closure_count>1"
"1","2","True","A_o004_r00084","A","closure_count>1"
"1","2","True","A_o004_r00088","A","closure_count>1"
"1","2","True","A_o004_r00092","A","closure_count>1"
"1","3","True","A_o004_r00094","A","closure_count>1"
"1","2","True","A_o004_r00095","A","closure_count>1"
"1","2","True","A_o004_r00096","A","closure_count>1"
"1","2","True","A_o005_r00102","A","closure_count>1"
"1","2","True","A_o005_r00108","A","closure_count>1"
"1","2","True","A_o005_r00112","A","closure_count>1"
"1","2","True","A_o005_r00116","A","closure_count>1"
"1","3","True","A_o005_r00118","A","closure_count>1"
"1","2","True","A_o005_r00119","A","closure_count>1"
"1","2","True","A_o005_r00120","A","closure_count>1"
"1","2","True","A_o006_r00134","A","closure_count>1"
"1","3","True","A_o006_r00136","A","closure_count>1"
"1","2","True","A_o006_r00140","A","closure_count>1"
"1","3","True","A_o006_r00142","A","closure_count>1"
"1","2","True","A_o006_r00143","A","closure_count>1"
"1","2","True","A_o006_r00144","A","closure_count>1"
"1","2","True","A_o007_r00150","A","closure_count>1"
"1","2","True","A_o007_r00156","A","closure_count>1"
"1","2","True","A_o007_r00160","A","closure_count>1"
"1","2","True","A_o007_r00162","A","closure_count>1"
"1","2","True","A_o007_r00164","A","closure_count>1"
"1","3","True","A_o007_r00166","A","closure_count>1"
"1","2","True","A_o007_r00167","A","closure_count>1"
"1","3","True","A_o007_r00168","A","closure_count>1"
"1","2","True","A_o008_r00174","A","closure_count>1"
"1","2","True","A_o008_r00180","A","closure_count>1"
"1","2","True","A_o008_r00184","A","closure_count>1"
"1","2","True","A_o008_r00186","A","closure_count>1"
"1","2","True","A_o008_r00188","A","closure_count>1"
"1","3","True","A_o008_r00190","A","closure_count>1"
"1","2","True","A_o008_r00191","A","closure_count>1"
"1","3","True","A_o008_r00192","A","closure_count>1"
"1","2","True","A_o009_r00206","A","closure_count>1"
"1","3","True","A_o009_r00208","A","closure_count>1"
"1","2","True","A_o009_r00210","A","closure_count>1"
"1","2","True","A_o009_r00212","A","closure_count>1"
"1","3","True","A_o009_r00214","A","closure_count>1"
"1","2","True","A_o009_r00215","A","closure_count>1"
"1","3","True","A_o009_r00216","A","closure_count>1"
"1","2","True","A_o010_r00219","A","closure_count>1"
"1","2","True","A_o010_r00221","A","closure_count>1"
"1","2","True","A_o010_r00229","A","closure_count>1"
"1","2","True","A_o010_r00230","A","closure_count>1"
"1","2","True","A_o010_r00231","A","closure_count>1"
"1","3","True","A_o010_r00232","A","closure_count>1"
"1","4","True","A_o010_r00234","A","closure_count>1"
"1","2","True","A_o010_r00235","A","closure_count>1"
"1","2","True","A_o010_r00236","A","closure_count>1"
"1","2","True","A_o010_r00237","A","closure_count>1"
"1","4","True","A_o010_r00238","A","closure_count>1"
"1","2","True","A_o010_r00239","A","closure_count>1"
"1","6","True","A_o010_r00240","A","closure_count>1"
"1","2","True","A_o011_r00246","A","closure_count>1"
"1","2","True","A_o011_r00247","A","closure_count>1"
"1","2","True","A_o011_r00248","A","closure_count>1"
"1","2","True","A_o011_r00252","A","closure_count>1"
"1","2","True","A_o011_r00254","A","closure_count>1"
"1","2","True","A_o011_r00256","A","closure_count>1"
"1","2","True","A_o011_r00258","A","closure_count>1"
"1","3","True","A_o011_r00260","A","closure_count>1"
"1","3","True","A_o011_r00262","A","closure_count>1"
"1","2","True","A_o011_r00263","A","closure_count>1"
"1","3","True","A_o011_r00264","A","closure_count>1"
"1","2","True","A_o012_r00270","A","closure_count>1"
"1","2","True","A_o012_r00271","A","closure_count>1"
"1","2","True","A_o012_r00272","A","closure_count>1"
"1","2","True","A_o012_r00276","A","closure_count>1"
"1","2","True","A_o012_r00278","A","closure_count>1"
"1","2","True","A_o012_r00280","A","closure_count>1"
"1","2","True","A_o012_r00282","A","closure_count>1"
"1","3","True","A_o012_r00284","A","closure_count>1"
"1","3","True","A_o012_r00286","A","closure_count>1"
"1","2","True","A_o012_r00287","A","closure_count>1"
"1","3","True","A_o012_r00288","A","closure_count>1"
"1","2","True","A_o013_r00295","A","closure_count>1"
"1","2","True","A_o013_r00296","A","closure_count>1"
"1","3","True","A_o013_r00302","A","closure_count>1"
"1","3","True","A_o013_r00304","A","closure_count>1"
"1","2","True","A_o013_r00306","A","closure_count>1"
"1","3","True","A_o013_r00308","A","closure_count>1"
"1","3","True","A_o013_r00310","A","closure_count>1"
"1","2","True","A_o013_r00311","A","closure_count>1"
"1","3","True","A_o013_r00312","A","closure_count>1"
"1","2","True","A_o014_r00315","A","closure_count>1"
"1","2","True","A_o014_r00317","A","closure_count>1"
"1","2","True","A_o014_r00319","A","closure_count>1"
"1","2","True","A_o014_r00320","A","closure_count>1"
"1","3","True","A_o014_r00325","A","closure_count>1"
"1","3","True","A_o014_r00326","A","closure_count>1"
"1","2","True","A_o014_r00327","A","closure_count>1"
"1","3","True","A_o014_r00328","A","closure_count>1"
"1","4","True","A_o014_r00330","A","closure_count>1"
"1","3","True","A_o014_r00331","A","closure_count>1"
"1","3","True","A_o014_r00332","A","closure_count>1"
"1","2","True","A_o014_r00333","A","closure_count>1"
"1","4","True","A_o014_r00334","A","closure_count>1"
"1","2","True","A_o014_r00335","A","closure_count>1"
"1","6","True","A_o014_r00336","A","closure_count>1"
"1","2","True","A_o015_r00339","A","closure_count>1"
"1","2","True","A_o015_r00341","A","closure_count>1"
"1","2","True","A_o015_r00343","A","closure_count>1"
"1","2","True","A_o015_r00344","A","closure_count>1"
"1","2","True","A_o015_r00345","A","closure_count>1"
"1","2","True","A_o015_r00347","A","closure_count>1"
"1","3","True","A_o015_r00349","A","closure_count>1"
"1","3","True","A_o015_r00350","A","closure_count>1"
"1","3","True","A_o015_r00351","A","closure_count>1"
"1","3","True","A_o015_r00352","A","closure_count>1"
