"D","Delta_max","Delta_min","Delta_values","M_K_v2_hash","P","class_id","class_size","component_delta_levels","d_multiset","n","p_multiset","panel","residual_status","tau_den","tau_num"
"16","-9","-9","[-9]","06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32","14","WP09C00001","1","{""1"":[-9]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-11","-11","[-11]","0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c","14","WP09C00002","1","{""1"":[-11]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-6","-6","[-6]","23e1bfba4197de51a573e007f8ad93a6c63abee1c285658bdddf36c716a7677b","14","WP09C00003","1","{""1"":[-6]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-2","-2","[-2]","25b63d91ffffefe5ce70df559ef971fa18ef128a7d4e68fd23d74e049c3e9241","14","WP09C00004","1","{""1"":[-2]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-7","-7","[-7]","289004324b08c05289d088ece7659bf1589e11031e41c88b243d840ff4860908","14","WP09C00005","1","{""1"":[-7]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-10","-10","[-10]","34b190b5610a41440aa52bd08cc4669f73a9fa8b3079a46009fd2c5df1db8934","14","WP09C00006","1","{""1"":[-10]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-3","-3","[-3]","5b806409e44b31351989101070c945c6dd40718dfc86b3160c10bbfc790d938c","14","WP09C00007","1","{""1"":[-3]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-4","-6","[-6,-4]","65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3","14","WP09C00008","2","{""1"":[-6,-4]}","[1,3,5,7]","4","[1,2,4,7]","A","EXCHANGE_COMPLETE","7","5"
"16","-12","-12","[-12]","70363939d1c824af8b02413be2ce151ba315a7dcfeba65534e9d21662b30564b","14","WP09C00009","1","{""1"":[-12]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","1","1","[1]","87a1c0f2d61c0de63bae799fc5dd47cf3a40e996ffb463685e266659e21fd38e","14","WP09C00010","1","{""1"":[1]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","0","0","[0]","a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87","14","WP09C00011","1","{""1"":[0]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-6","-6","[-6]","aac920d42175c0111569e218d1d5ddf9eb4a6fdca7cd09bee48ecf84934b5f94","14","WP09C00012","1","{""1"":[-6]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-3","-4","[-4,-3]","c05f23394596ae9fa98df31ef87a596f92c6c6244caad6bfd01272cc5daa4d63","14","WP09C00013","2","{""1"":[-4,-3]}","[1,3,5,7]","4","[1,2,4,7]","A","EXCHANGE_COMPLETE","7","5"
"16","-6","-6","[-6]","c23b3ba67a722e02ce17f0c28ffbf2fc60adf58875dfb5083ee34e0edb570b0b","14","WP09C00014","1","{""1"":[-6]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","0","0","[0]","ea66681bd3fa31c8e11d6ea78480e8270755413f76617e47632eef9ba03af4e2","14","WP09C00015","1","{""1"":[0]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-8","-8","[-8]","eeeb84a07001d490acb2e41ca051999ffeb0b61ed70ee0adf318857cb3d31a80","14","WP09C00016","1","{""1"":[-8]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-12","-12","[-12]","fb64c3c790757cecf7c382b67151b0b6fbc0ae766d60fb63a07558af34321611","14","WP09C00017","1","{""1"":[-12]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"16","-10","-10","[-10]","fdb7459cf9013649180f6d52c62a5c4697ab69c6f9d1a884811294a49d65096a","14","WP09C00018","1","{""1"":[-10]}","[1,3,5,7]","4","[1,2,4,7]","A","CONSTANT","7","5"
"18","-7","-7","[-7]","06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32","14","WP09C00019","1","{""1"":[-7]}","[1,3,5,9]","4","[1,2,4,7]","A","CONSTANT","28","19"
"18","-9","-9","[-9]","0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c","14","WP09C00020","1","{""1"":[-9]}","[1,3,5,9]","4","[1,2,4,7]","A","CONSTANT","28","19"
