"EDD_C22","SPT_sufficient","TT_star","beta_optimal","instance_id","optimal_schedule_count","optimal_schedules","panel"
"True","True","9","True","A_o001_r00001","1","[[1,2,3,4]]","A"
"True","True","9","True","A_o001_r00002","1","[[1,2,3,4]]","A"
"True","True","11","True","A_o001_r00004","1","[[1,2,3,4]]","A"
"True","True","11","True","A_o001_r00005","1","[[1,3,2,4]]","A"
"True","True","11","True","A_o001_r00006","1","[[1,3,2,4]]","A"
"True","True","10","True","A_o001_r00007","1","[[2,1,3,4]]","A"
"True","True","10","True","A_o001_r00008","1","[[2,1,3,4]]","A"
"True","True","13","True","A_o001_r00010","2","[[1,2,3,4],[2,1,3,4]]","A"
"True","True","13","True","A_o001_r00011","1","[[1,3,2,4]]","A"
"True","True","13","True","A_o001_r00012","1","[[1,3,2,4]]","A"
"True","True","12","True","A_o001_r00013","1","[[2,1,3,4]]","A"
"True","True","12","True","A_o001_r00014","1","[[2,1,3,4]]","A"
"True","True","14","True","A_o001_r00017","1","[[3,1,2,4]]","A"
"True","True","14","True","A_o001_r00018","1","[[3,1,2,4]]","A"
"True","True","13","True","A_o001_r00019","1","[[2,3,1,4]]","A"
"True","True","13","True","A_o001_r00020","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o001_r00021","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o001_r00022","1","[[2,3,1,4]]","A"
"True","True","15","True","A_o001_r00023","1","[[3,2,1,4]]","A"
"True","True","15","True","A_o001_r00024","1","[[3,2,1,4]]","A"
"True","True","7","True","A_o002_r00025","1","[[1,2,3,4]]","A"
"True","True","9","True","A_o002_r00026","1","[[1,2,3,4]]","A"
"True","True","11","True","A_o002_r00028","1","[[1,2,3,4]]","A"
"True","True","11","True","A_o002_r00029","1","[[1,3,2,4]]","A"
"True","True","11","True","A_o002_r00030","1","[[1,3,2,4]]","A"
"True","True","8","True","A_o002_r00031","1","[[2,1,3,4]]","A"
"True","True","10","True","A_o002_r00032","1","[[2,1,3,4]]","A"
"True","True","13","True","A_o002_r00034","2","[[1,2,3,4],[2,1,3,4]]","A"
"True","True","13","True","A_o002_r00035","1","[[1,3,2,4]]","A"
"True","True","13","True","A_o002_r00036","1","[[1,3,2,4]]","A"
"True","True","10","True","A_o002_r00037","1","[[2,1,3,4]]","A"
"True","True","12","True","A_o002_r00038","1","[[2,1,3,4]]","A"
"True","True","14","True","A_o002_r00041","1","[[3,1,2,4]]","A"
"True","True","14","True","A_o002_r00042","1","[[3,1,2,4]]","A"
"True","True","13","True","A_o002_r00043","1","[[2,3,1,4]]","A"
"True","True","13","True","A_o002_r00044","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o002_r00045","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o002_r00046","1","[[2,3,1,4]]","A"
"True","True","15","True","A_o002_r00047","1","[[3,2,1,4]]","A"
"True","True","15","True","A_o002_r00048","1","[[3,2,1,4]]","A"
"True","True","5","True","A_o003_r00049","1","[[1,2,3,4]]","A"
"True","True","8","True","A_o003_r00050","1","[[1,2,4,3]]","A"
"True","True","10","True","A_o003_r00052","1","[[1,2,4,3]]","A"
"True","True","11","True","A_o003_r00053","1","[[1,3,2,4]]","A"
"True","True","11","True","A_o003_r00054","1","[[1,3,2,4]]","A"
"True","True","6","True","A_o003_r00055","1","[[2,1,3,4]]","A"
"True","True","9","True","A_o003_r00056","1","[[2,1,4,3]]","A"
"True","True","12","True","A_o003_r00058","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","13","True","A_o003_r00059","1","[[1,3,2,4]]","A"
"True","True","13","True","A_o003_r00060","1","[[1,3,2,4]]","A"
"True","True","8","True","A_o003_r00061","1","[[2,1,3,4]]","A"
"True","True","11","True","A_o003_r00062","1","[[2,1,4,3]]","A"
"True","True","14","True","A_o003_r00065","1","[[3,1,2,4]]","A"
"True","True","14","True","A_o003_r00066","1","[[3,1,2,4]]","A"
"True","True","13","True","A_o003_r00067","1","[[2,3,1,4]]","A"
"True","True","13","True","A_o003_r00068","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o003_r00069","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o003_r00070","1","[[2,3,1,4]]","A"
"True","True","15","True","A_o003_r00071","1","[[3,2,1,4]]","A"
"True","True","15","True","A_o003_r00072","1","[[3,2,1,4]]","A"
"True","True","5","True","A_o004_r00073","1","[[1,2,3,4]]","A"
"True","True","7","True","A_o004_r00074","1","[[1,2,3,4]]","A"
"True","True","7","True","A_o004_r00075","1","[[1,3,2,4]]","A"
"True","True","11","True","A_o004_r00076","2","[[1,2,3,4],[1,3,2,4]]","A"
"True","True","9","True","A_o004_r00077","1","[[1,3,2,4]]","A"
"True","True","6","True","A_o004_r00079","1","[[2,1,3,4]]","A"
"True","True","8","True","A_o004_r00080","1","[[2,1,3,4]]","A"
"True","True","9","True","A_o004_r00081","1","[[1,3,2,4]]","A"
"True","True","13","True","A_o004_r00082","3","[[1,2,3,4],[1,3,2,4],[2,1,3,4]]","A"
"True","True","11","True","A_o004_r00083","1","[[1,3,2,4]]","A"
"True","True","9","True","A_o004_r00085","1","[[2,3,1,4]]","A"
"True","True","12","True","A_o004_r00086","2","[[2,1,3,4],[2,3,1,4]]","A"
"True","True","10","True","A_o004_r00087","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o004_r00089","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","14","True","A_o004_r00090","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","11","True","A_o004_r00091","1","[[2,3,1,4]]","A"
"True","True","12","True","A_o004_r00093","1","[[2,3,1,4]]","A"
"True","True","3","True","A_o005_r00097","1","[[1,2,3,4]]","A"
