"EDD_prefix_t","I_forward","I_reverse","SPT_C_a","SPT_C_b","a_p_rank","b_p_rank","class_id","d_H","d_L","observed_delta_difference","panel","predicted_delta_difference","prediction_category","prediction_magnitude","prediction_matches"
"0","B_o001_r00451","B_o001_r00453","7","14","3","4","WP09C00217","3","1","3","B","3","positive","3","True"
"0","B_o001_r00434","B_o001_r00440","3","7","2","3","WP09C00218","3","1","2","B","2","positive","2","True"
"0","B_o001_r00469","B_o001_r00471","7","14","3","4","WP09C00223","3","1","3","B","3","positive","3","True"
"1","B_o001_r00379","B_o001_r00381","7","14","3","4","WP09C00227","5","3","3","B","3","positive","3","True"
"0","B_o001_r00379","B_o001_r00403","1","7","1","3","WP09C00227","3","1","1","B","1","positive","1","True"
"0","B_o001_r00381","B_o001_r00405","1","14","1","4","WP09C00227","3","1","4","B","4","positive","4","True"
"0","B_o001_r00458","B_o001_r00464","3","7","2","3","WP09C00230","3","1","2","B","2","positive","2","True"
"1","B_o001_r00373","B_o001_r00375","7","14","3","4","WP09C00231","5","3","3","B","3","positive","3","True"
"0","B_o001_r00373","B_o001_r00397","1","7","1","3","WP09C00231","3","1","1","B","1","positive","1","True"
"0","B_o001_r00375","B_o001_r00399","1","14","1","4","WP09C00231","3","1","4","B","4","positive","4","True"
"0","B_o001_r00374","B_o001_r00398","1","7","1","3","WP09C00233","3","1","1","B","1","positive","1","True"
"1","B_o001_r00365","B_o001_r00371","3","14","2","4","WP09C00234","5","3","3","B","3","positive","3","True"
"0","B_o001_r00371","B_o001_r00395","1","14","1","4","WP09C00234","3","1","4","B","4","positive","4","True"
"0","B_o001_r00421","B_o001_r00423","7","14","3","4","WP09C00237","3","1","3","B","3","positive","3","True"
"3","B_o001_r00385","B_o001_r00387","7","14","3","4","WP09C00241","7","5","3","B","3","positive","3","True"
"2","B_o001_r00385","B_o001_r00409","1","7","1","3","WP09C00241","5","3","1","B","1","positive","1","True"
"2","B_o001_r00387","B_o001_r00411","1","14","1","4","WP09C00241","5","3","4","B","4","positive","4","True"
"2","B_o001_r00457","B_o001_r00459","7","14","3","4","WP09C00243","5","3","3","B","3","positive","3","True"
"0","B_o001_r00457","B_o001_r00463","3","7","2","3","WP09C00243","3","1","2","B","2","positive","2","True"
"0","B_o001_r00459","B_o001_r00465","3","14","2","4","WP09C00243","3","1","5","B","5","positive","5","True"
"2","B_o001_r00389","B_o001_r00413","1","14","1","4","WP09C00247","5","3","4","B","4","positive","4","True"
"0","B_o001_r00377","B_o001_r00401","1","14","1","4","WP09C00248","3","1","4","B","4","positive","4","True"
