"FULL_family_count","closure_count","equivalence_valid","instance_id","panel","reason"
"1","2","True","B_o001_r00367","B","closure_count>1"
"1","2","True","B_o001_r00368","B","closure_count>1"
"1","2","True","B_o001_r00383","B","closure_count>1"
"1","2","True","B_o001_r00384","B","closure_count>1"
"1","2","True","B_o001_r00391","B","closure_count>1"
"1","2","True","B_o001_r00392","B","closure_count>1"
"1","2","True","B_o001_r00407","B","closure_count>1"
"1","2","True","B_o001_r00408","B","closure_count>1"
"1","2","True","B_o001_r00415","B","closure_count>1"
"1","2","True","B_o001_r00416","B","closure_count>1"
"1","2","True","B_o001_r00417","B","closure_count>1"
"1","2","True","B_o001_r00418","B","closure_count>1"
"1","2","True","B_o001_r00419","B","closure_count>1"
"1","2","True","B_o001_r00420","B","closure_count>1"
"1","2","True","B_o001_r00431","B","closure_count>1"
"1","2","True","B_o001_r00432","B","closure_count>1"
"1","2","True","B_o001_r00443","B","closure_count>1"
"1","2","True","B_o001_r00444","B","closure_count>1"
"1","2","True","B_o001_r00449","B","closure_count>1"
"1","2","True","B_o001_r00450","B","closure_count>1"
"1","2","True","B_o001_r00455","B","closure_count>1"
"1","2","True","B_o001_r00456","B","closure_count>1"
"1","2","True","B_o001_r00461","B","closure_count>1"
"1","2","True","B_o001_r00462","B","closure_count>1"
"1","3","True","B_o001_r00467","B","closure_count>1"
"1","3","True","B_o001_r00468","B","closure_count>1"
"1","3","True","B_o001_r00473","B","closure_count>1"
"1","3","True","B_o001_r00474","B","closure_count>1"
"1","2","True","B_o001_r00475","B","closure_count>1"
"1","2","True","B_o001_r00476","B","closure_count>1"
"1","2","True","B_o001_r00477","B","closure_count>1"
"1","2","True","B_o001_r00478","B","closure_count>1"
"1","3","True","B_o001_r00479","B","closure_count>1"
"1","3","True","B_o001_r00480","B","closure_count>1"
"1","2","True","B_o002_r00487","B","closure_count>1"
"1","2","True","B_o002_r00488","B","closure_count>1"
"1","2","True","B_o002_r00503","B","closure_count>1"
"1","2","True","B_o002_r00504","B","closure_count>1"
"1","2","True","B_o002_r00511","B","closure_count>1"
"1","2","True","B_o002_r00512","B","closure_count>1"
"1","2","True","B_o002_r00527","B","closure_count>1"
"1","2","True","B_o002_r00528","B","closure_count>1"
"1","2","True","B_o002_r00535","B","closure_count>1"
"1","2","True","B_o002_r00536","B","closure_count>1"
"1","2","True","B_o002_r00537","B","closure_count>1"
"1","2","True","B_o002_r00538","B","closure_count>1"
