"M_K_v2_hash","M_K_v2_serialized","instance_id","panel"
"2af8eb8cda480f65c0a4e9b73f4745c6d67b381afeff86b49a3188bb22b0a17c","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[true,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00361","B"
"db87b9a343f8baf59cef8e05efcd1faee28d32b68a8e0b046fd0f203622f5ef3","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[4,[1,2,3],5,[4]],[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00362","B"
"fb33204c56fb7fcca41ec3e13553a855d61192832a572719764f1f89c9ffc342","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00363","B"
"ad44bd1a2ad1bd15781873dcda35b2e1a82f7da9332c10d6dc98d90e0b57514b","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],5,[3,4]],[4,[1,2,3],5,[4]],[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00364","B"
"4abb9f009c27d9534b4cca77108f6baa9b1ce3de9f8230474bf5874129a281e3","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[4,[1,2,4],5,[3]],[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00365","B"
"c46096bd88de93ed9f83b6d52244a03cb1110b83aeb42f2f5fa83cc2d2307d20","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],5,[3,4]],[4,[1,2,4],5,[3]],[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00366","B"
"fb33204c56fb7fcca41ec3e13553a855d61192832a572719764f1f89c9ffc342","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00369","B"
"23289cf752038b55bce5981ad5e0bd17c11e0b2fd3e02eccf7c5c302bce873df","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[1],5,[2,3,4]],[3,[1,2],5,[3,4]],[4,[1,2,3],5,[4]],[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00370","B"
"4abb9f009c27d9534b4cca77108f6baa9b1ce3de9f8230474bf5874129a281e3","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[4,[1,2,4],5,[3]],[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00371","B"
"f0264cbe27ffc2c8523861462e513bb9bc93ca36fc5130e98f9093f7783a2c3b","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[1,4],[1,5],[2,3],[2,4],[2,5],[3,4],[3,5],[4,5]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3],[1,4],[2,4],[3,4],[1,5],[2,5],[3,5],[4,5]],""S_beta"":[1,2,3,4,5],""BETA_STATUS"":[""NA"",""NA"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[1],5,[2,3,4]],[3,[1,2],5,[3,4]],[4,[1,2,4],5,[3]],[5,[1,2,3,4],5,[]]],""Q_exact"":[1,2,3,4,5],""h_key"":5,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[4]},{""prefix"":[1,2,3,4],""argmin"":[5]},{""prefix"":[1,2,3,4,5],""argmin"":[]}]}","B_o001_r00372","B"
