"EDD_C22","SPT_sufficient","TT_star","beta_optimal","instance_id","optimal_schedule_count","optimal_schedules","panel"
"True","True","25","True","B_o001_r00361","1","[[1,2,3,4,5]]","B"
"True","True","25","True","B_o001_r00362","1","[[1,2,3,4,5]]","B"
"True","True","25","True","B_o001_r00363","1","[[1,2,3,4,5]]","B"
"True","True","25","True","B_o001_r00364","1","[[1,2,3,4,5]]","B"
"True","True","27","True","B_o001_r00365","1","[[1,2,3,4,5]]","B"
"True","True","27","True","B_o001_r00366","1","[[1,2,3,4,5]]","B"
"True","True","27","True","B_o001_r00369","1","[[1,2,3,4,5]]","B"
"True","True","27","True","B_o001_r00370","1","[[1,2,3,4,5]]","B"
"True","True","29","True","B_o001_r00371","1","[[1,2,3,4,5]]","B"
"True","True","29","True","B_o001_r00372","1","[[1,2,3,4,5]]","B"
"True","True","27","True","B_o001_r00373","1","[[1,3,2,4,5]]","B"
"True","True","27","True","B_o001_r00374","1","[[1,3,2,4,5]]","B"
"True","True","27","True","B_o001_r00375","1","[[1,3,2,4,5]]","B"
"True","True","27","True","B_o001_r00376","1","[[1,3,2,4,5]]","B"
"True","True","31","True","B_o001_r00377","2","[[1,2,3,4,5],[1,3,2,4,5]]","B"
"True","True","31","True","B_o001_r00378","2","[[1,2,3,4,5],[1,3,2,4,5]]","B"
"True","True","29","True","B_o001_r00379","1","[[1,3,2,4,5]]","B"
"True","True","29","True","B_o001_r00380","1","[[1,3,2,4,5]]","B"
"True","True","29","True","B_o001_r00381","1","[[1,3,2,4,5]]","B"
"True","True","29","True","B_o001_r00382","1","[[1,3,2,4,5]]","B"
"True","True","26","True","B_o001_r00385","1","[[2,1,3,4,5]]","B"
"True","True","26","True","B_o001_r00386","1","[[2,1,3,4,5]]","B"
"True","True","26","True","B_o001_r00387","1","[[2,1,3,4,5]]","B"
"True","True","26","True","B_o001_r00388","1","[[2,1,3,4,5]]","B"
"True","True","28","True","B_o001_r00389","1","[[2,1,3,4,5]]","B"
"True","True","28","True","B_o001_r00390","1","[[2,1,3,4,5]]","B"
"True","True","29","True","B_o001_r00393","2","[[1,2,3,4,5],[2,1,3,4,5]]","B"
"True","True","29","True","B_o001_r00394","2","[[1,2,3,4,5],[2,1,3,4,5]]","B"
"True","True","31","True","B_o001_r00395","2","[[1,2,3,4,5],[2,1,3,4,5]]","B"
"True","True","31","True","B_o001_r00396","2","[[1,2,3,4,5],[2,1,3,4,5]]","B"
"True","True","29","True","B_o001_r00397","1","[[1,3,2,4,5]]","B"
"True","True","29","True","B_o001_r00398","1","[[1,3,2,4,5]]","B"
