M_K_v2_class,M_K_v2_hash,class_id,d_by_rank,exclusion_reason,in_endpoint_class,instance_id,is_endpoint,pair_id,step
WP09C00412,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00412,"[3,1,7,5,15]",,True,B_o004_r00747,True,XP001,0
WP09C00435,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00412,"[3,1,5,7,15]",,False,B_o004_r00745,False,XP001,1
WP09C00412,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00412,"[5,1,3,7,15]",,True,B_o004_r00769,True,XP001,2
WP09C00412,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00412,"[5,1,3,7,15]",,True,B_o004_r00769,True,XP002,0
WP09C00435,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00412,"[3,1,5,7,15]",,False,B_o004_r00745,False,XP002,1
WP09C00412,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00412,"[3,1,7,5,15]",,True,B_o004_r00747,False,XP002,2
WP09C00412,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00412,"[5,1,7,3,15]",,True,B_o004_r00771,True,XP002,3
WP09C00483,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00483,"[3,1,7,5,17]",,True,B_o005_r00867,True,XP003,0
WP09C00506,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00483,"[3,1,5,7,17]",,False,B_o005_r00865,False,XP003,1
WP09C00483,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00483,"[5,1,3,7,17]",,True,B_o005_r00889,True,XP003,2
WP09C00483,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00483,"[5,1,3,7,17]",,True,B_o005_r00889,True,XP004,0
WP09C00506,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00483,"[3,1,5,7,17]",,False,B_o005_r00865,False,XP004,1
WP09C00483,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00483,"[3,1,7,5,17]",,True,B_o005_r00867,False,XP004,2
WP09C00483,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00483,"[5,1,7,3,17]",,True,B_o005_r00891,True,XP004,3
WP09C00654,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00654,"[3,1,9,5,15]",,True,B_o008_r01227,True,XP005,0
WP09C00679,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00654,"[3,1,5,9,15]",,False,B_o008_r01225,False,XP005,1
WP09C00654,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00654,"[5,1,3,9,15]",,True,B_o008_r01249,True,XP005,2
WP09C00654,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00654,"[5,1,3,9,15]",,True,B_o008_r01249,True,XP006,0
WP09C00679,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00654,"[3,1,5,9,15]",,False,B_o008_r01225,False,XP006,1
WP09C00654,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00654,"[3,1,9,5,15]",,True,B_o008_r01227,False,XP006,2
WP09C00654,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00654,"[5,1,9,3,15]",,True,B_o008_r01251,True,XP006,3
WP09C00718,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00718,"[3,1,9,5,17]",,True,B_o009_r01347,True,XP007,0
WP09C00743,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00718,"[3,1,5,9,17]",,False,B_o009_r01345,False,XP007,1
WP09C00718,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00718,"[5,1,3,9,17]",,True,B_o009_r01369,True,XP007,2
WP09C00718,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00718,"[5,1,3,9,17]",,True,B_o009_r01369,True,XP008,0
WP09C00743,b668110acbf6258ecfcd874c63b45ae05de176d2517ed87e36253ae5844d5ac8,WP09C00718,"[3,1,5,9,17]",,False,B_o009_r01345,False,XP008,1
WP09C00718,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00718,"[3,1,9,5,17]",,True,B_o009_r01347,False,XP008,2
WP09C00718,5677a6b7c0b60fbb99208811ecc6169646dee4c5680fa759e9acec0ef74ed149,WP09C00718,"[5,1,9,3,17]",,True,B_o009_r01371,True,XP008,3
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[1,13,5,3,15]",,True,B_o013_r01815,True,XP009,0
WP09C00962,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01026,"[1,13,3,5,15]",,False,B_o013_r01813,False,XP009,1
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[3,13,1,5,15]",,True,B_o013_r01837,True,XP009,2
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[3,13,1,5,15]",,True,B_o013_r01837,True,XP010,0
WP09C00962,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01026,"[1,13,3,5,15]",,False,B_o013_r01813,False,XP010,1
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[1,13,5,3,15]",,True,B_o013_r01815,False,XP010,2
WP09C01026,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01026,"[3,13,5,1,15]",,True,B_o013_r01839,True,XP010,3
WP09C01104,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01104,"[1,13,5,3,17]",,True,B_o014_r01935,True,XP011,0
