class_id,classification,component_1,component_2,endpoint_1,endpoint_2,observed_endpoint_delta_difference,pair_id,path_end,path_exists,path_length,path_start,telescoped_predicted_delta_difference
WP09C00412,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o004_r00747,B_o004_r00769,-2,XP001,B_o004_r00769,True,2,B_o004_r00747,-2
WP09C00412,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o004_r00769,B_o004_r00771,6,XP002,B_o004_r00771,True,3,B_o004_r00769,6
WP09C00483,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o005_r00867,B_o005_r00889,-2,XP003,B_o005_r00889,True,2,B_o005_r00867,-2
WP09C00483,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o005_r00889,B_o005_r00891,6,XP004,B_o005_r00891,True,3,B_o005_r00889,6
WP09C00654,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o008_r01227,B_o008_r01249,0,XP005,B_o008_r01249,True,2,B_o008_r01227,0
WP09C00654,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o008_r01249,B_o008_r01251,4,XP006,B_o008_r01251,True,3,B_o008_r01249,4
WP09C00718,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o009_r01347,B_o009_r01369,0,XP007,B_o009_r01369,True,2,B_o009_r01347,0
WP09C00718,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o009_r01369,B_o009_r01371,4,XP008,B_o009_r01371,True,3,B_o009_r01369,4
WP09C01026,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o013_r01815,B_o013_r01837,-2,XP009,B_o013_r01837,True,2,B_o013_r01815,-2
WP09C01026,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o013_r01837,B_o013_r01839,6,XP010,B_o013_r01839,True,3,B_o013_r01837,6
WP09C01104,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o014_r01935,B_o014_r01957,-2,XP011,B_o014_r01957,True,2,B_o014_r01935,-2
WP09C01104,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o014_r01957,B_o014_r01959,6,XP012,B_o014_r01959,True,3,B_o014_r01957,6
WP09C01158,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o015_r02055,B_o015_r02077,-2,XP013,B_o015_r02077,True,2,B_o015_r02055,-2
WP09C01158,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o015_r02077,B_o015_r02079,6,XP014,B_o015_r02079,True,3,B_o015_r02077,6
WP09C01626,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o023_r03015,B_o023_r03037,-2,XP015,B_o023_r03037,True,2,B_o023_r03015,-2
WP09C01626,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o023_r03037,B_o023_r03039,6,XP016,B_o023_r03039,True,3,B_o023_r03037,6
WP09C01703,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o024_r03135,B_o024_r03157,-2,XP017,B_o024_r03157,True,2,B_o024_r03135,-2
WP09C01703,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o024_r03157,B_o024_r03159,6,XP018,B_o024_r03159,True,3,B_o024_r03157,6
WP09C01713,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o025_r03315,B_o025_r03319,-1,XP019,B_o025_r03319,True,2,B_o025_r03315,-1
WP09C01713,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o025_r03319,B_o025_r03321,6,XP020,B_o025_r03321,True,3,B_o025_r03319,6
WP09C01757,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,1,2,B_o025_r03255,B_o025_r03277,-2,XP021,B_o025_r03277,True,2,B_o025_r03255,-2
WP09C01757,TELESCOPES_VIA_STANDARD_EXCHANGE_PATH,2,1,B_o025_r03277,B_o025_r03279,6,XP022,B_o025_r03279,True,3,B_o025_r03277,6
