class_id,component_1,component_2,endpoint_1,endpoint_2,pair_id,path_exists,path_length,telescoped_predicted_delta_difference
WP09C00412,1,2,B_o004_r00747,B_o004_r00769,XP001,True,2,-2
WP09C00412,2,1,B_o004_r00769,B_o004_r00771,XP002,True,3,6
WP09C00483,1,2,B_o005_r00867,B_o005_r00889,XP003,True,2,-2
WP09C00483,2,1,B_o005_r00889,B_o005_r00891,XP004,True,3,6
WP09C00654,1,2,B_o008_r01227,B_o008_r01249,XP005,True,2,0
WP09C00654,2,1,B_o008_r01249,B_o008_r01251,XP006,True,3,4
WP09C00718,1,2,B_o009_r01347,B_o009_r01369,XP007,True,2,0
WP09C00718,2,1,B_o009_r01369,B_o009_r01371,XP008,True,3,4
WP09C01026,1,2,B_o013_r01815,B_o013_r01837,XP009,True,2,-2
WP09C01026,2,1,B_o013_r01837,B_o013_r01839,XP010,True,3,6
WP09C01104,1,2,B_o014_r01935,B_o014_r01957,XP011,True,2,-2
WP09C01104,2,1,B_o014_r01957,B_o014_r01959,XP012,True,3,6
WP09C01158,1,2,B_o015_r02055,B_o015_r02077,XP013,True,2,-2
WP09C01158,2,1,B_o015_r02077,B_o015_r02079,XP014,True,3,6
WP09C01626,1,2,B_o023_r03015,B_o023_r03037,XP015,True,2,-2
WP09C01626,2,1,B_o023_r03037,B_o023_r03039,XP016,True,3,6
WP09C01703,1,2,B_o024_r03135,B_o024_r03157,XP017,True,2,-2
WP09C01703,2,1,B_o024_r03157,B_o024_r03159,XP018,True,3,6
WP09C01713,1,2,B_o025_r03315,B_o025_r03319,XP019,True,2,-1
WP09C01713,2,1,B_o025_r03319,B_o025_r03321,XP020,True,3,6
WP09C01757,1,2,B_o025_r03255,B_o025_r03277,XP021,True,2,-2
WP09C01757,2,1,B_o025_r03277,B_o025_r03279,XP022,True,3,6
