EDD_prefix_t,I_forward,I_reverse,SPT_C_a,SPT_C_b,a_p_rank,b_p_rank,class_id,d_H,d_L,leg,observed_delta_difference,pair_id,path_from,path_predicted_delta_difference,path_to,predicted_delta_difference,prediction_matches
3,B_o004_r00745,B_o004_r00747,7,14,3,4,WP09C00412,7,5,1,3,XP001,B_o004_r00747,-3,B_o004_r00745,3,True
2,B_o004_r00745,B_o004_r00769,1,7,1,3,WP09C00412,5,3,2,1,XP001,B_o004_r00745,1,B_o004_r00769,1,True
2,B_o004_r00745,B_o004_r00769,1,7,1,3,WP09C00412,5,3,1,1,XP002,B_o004_r00769,-1,B_o004_r00745,1,True
3,B_o004_r00745,B_o004_r00747,7,14,3,4,WP09C00412,7,5,2,3,XP002,B_o004_r00745,3,B_o004_r00747,3,True
2,B_o004_r00747,B_o004_r00771,1,14,1,4,WP09C00412,5,3,3,4,XP002,B_o004_r00747,4,B_o004_r00771,4,True
3,B_o005_r00865,B_o005_r00867,7,14,3,4,WP09C00483,7,5,1,3,XP003,B_o005_r00867,-3,B_o005_r00865,3,True
2,B_o005_r00865,B_o005_r00889,1,7,1,3,WP09C00483,5,3,2,1,XP003,B_o005_r00865,1,B_o005_r00889,1,True
2,B_o005_r00865,B_o005_r00889,1,7,1,3,WP09C00483,5,3,1,1,XP004,B_o005_r00889,-1,B_o005_r00865,1,True
3,B_o005_r00865,B_o005_r00867,7,14,3,4,WP09C00483,7,5,2,3,XP004,B_o005_r00865,3,B_o005_r00867,3,True
2,B_o005_r00867,B_o005_r00891,1,14,1,4,WP09C00483,5,3,3,4,XP004,B_o005_r00867,4,B_o005_r00891,4,True
3,B_o008_r01225,B_o008_r01227,7,14,3,4,WP09C00654,9,5,1,1,XP005,B_o008_r01227,-1,B_o008_r01225,1,True
2,B_o008_r01225,B_o008_r01249,1,7,1,3,WP09C00654,5,3,2,1,XP005,B_o008_r01225,1,B_o008_r01249,1,True
2,B_o008_r01225,B_o008_r01249,1,7,1,3,WP09C00654,5,3,1,1,XP006,B_o008_r01249,-1,B_o008_r01225,1,True
3,B_o008_r01225,B_o008_r01227,7,14,3,4,WP09C00654,9,5,2,1,XP006,B_o008_r01225,1,B_o008_r01227,1,True
2,B_o008_r01227,B_o008_r01251,1,14,1,4,WP09C00654,5,3,3,4,XP006,B_o008_r01227,4,B_o008_r01251,4,True
3,B_o009_r01345,B_o009_r01347,7,14,3,4,WP09C00718,9,5,1,1,XP007,B_o009_r01347,-1,B_o009_r01345,1,True
2,B_o009_r01345,B_o009_r01369,1,7,1,3,WP09C00718,5,3,2,1,XP007,B_o009_r01345,1,B_o009_r01369,1,True
2,B_o009_r01345,B_o009_r01369,1,7,1,3,WP09C00718,5,3,1,1,XP008,B_o009_r01369,-1,B_o009_r01345,1,True
3,B_o009_r01345,B_o009_r01347,7,14,3,4,WP09C00718,9,5,2,1,XP008,B_o009_r01345,1,B_o009_r01347,1,True
2,B_o009_r01347,B_o009_r01371,1,14,1,4,WP09C00718,5,3,3,4,XP008,B_o009_r01347,4,B_o009_r01371,4,True
1,B_o013_r01813,B_o013_r01815,7,14,3,4,WP09C01026,5,3,1,3,XP009,B_o013_r01815,-3,B_o013_r01813,3,True
0,B_o013_r01813,B_o013_r01837,1,7,1,3,WP09C01026,3,1,2,1,XP009,B_o013_r01813,1,B_o013_r01837,1,True
0,B_o013_r01813,B_o013_r01837,1,7,1,3,WP09C01026,3,1,1,1,XP010,B_o013_r01837,-1,B_o013_r01813,1,True
1,B_o013_r01813,B_o013_r01815,7,14,3,4,WP09C01026,5,3,2,3,XP010,B_o013_r01813,3,B_o013_r01815,3,True
0,B_o013_r01815,B_o013_r01839,1,14,1,4,WP09C01026,3,1,3,4,XP010,B_o013_r01815,4,B_o013_r01839,4,True
1,B_o014_r01933,B_o014_r01935,7,14,3,4,WP09C01104,5,3,1,3,XP011,B_o014_r01935,-3,B_o014_r01933,3,True
0,B_o014_r01933,B_o014_r01957,1,7,1,3,WP09C01104,3,1,2,1,XP011,B_o014_r01933,1,B_o014_r01957,1,True
0,B_o014_r01933,B_o014_r01957,1,7,1,3,WP09C01104,3,1,1,1,XP012,B_o014_r01957,-1,B_o014_r01933,1,True
1,B_o014_r01933,B_o014_r01935,7,14,3,4,WP09C01104,5,3,2,3,XP012,B_o014_r01933,3,B_o014_r01935,3,True
0,B_o014_r01935,B_o014_r01959,1,14,1,4,WP09C01104,3,1,3,4,XP012,B_o014_r01935,4,B_o014_r01959,4,True
1,B_o015_r02053,B_o015_r02055,7,14,3,4,WP09C01158,5,3,1,3,XP013,B_o015_r02055,-3,B_o015_r02053,3,True
0,B_o015_r02053,B_o015_r02077,1,7,1,3,WP09C01158,3,1,2,1,XP013,B_o015_r02053,1,B_o015_r02077,1,True
0,B_o015_r02053,B_o015_r02077,1,7,1,3,WP09C01158,3,1,1,1,XP014,B_o015_r02077,-1,B_o015_r02053,1,True
1,B_o015_r02053,B_o015_r02055,7,14,3,4,WP09C01158,5,3,2,3,XP014,B_o015_r02053,3,B_o015_r02055,3,True
0,B_o015_r02055,B_o015_r02079,1,14,1,4,WP09C01158,3,1,3,4,XP014,B_o015_r02055,4,B_o015_r02079,4,True
1,B_o023_r03013,B_o023_r03015,7,14,3,4,WP09C01626,7,3,1,3,XP015,B_o023_r03015,-3,B_o023_r03013,3,True
0,B_o023_r03013,B_o023_r03037,1,7,1,3,WP09C01626,3,1,2,1,XP015,B_o023_r03013,1,B_o023_r03037,1,True
0,B_o023_r03013,B_o023_r03037,1,7,1,3,WP09C01626,3,1,1,1,XP016,B_o023_r03037,-1,B_o023_r03013,1,True
1,B_o023_r03013,B_o023_r03015,7,14,3,4,WP09C01626,7,3,2,3,XP016,B_o023_r03013,3,B_o023_r03015,3,True
0,B_o023_r03015,B_o023_r03039,1,14,1,4,WP09C01626,3,1,3,4,XP016,B_o023_r03015,4,B_o023_r03039,4,True
1,B_o024_r03133,B_o024_r03135,7,14,3,4,WP09C01703,7,3,1,3,XP017,B_o024_r03135,-3,B_o024_r03133,3,True
0,B_o024_r03133,B_o024_r03157,1,7,1,3,WP09C01703,3,1,2,1,XP017,B_o024_r03133,1,B_o024_r03157,1,True
0,B_o024_r03133,B_o024_r03157,1,7,1,3,WP09C01703,3,1,1,1,XP018,B_o024_r03157,-1,B_o024_r03133,1,True
