class_id,coordinate_changes,from_class,from_instance_id,leaves_endpoint_class,leg,pair_id,returns_endpoint_class,to_class,to_instance_id
WP09C00412,"[""EDD_C22""]",WP09C00412,B_o004_r00747,True,1,XP001,False,WP09C00435,B_o004_r00745
WP09C00412,"[""EDD_C22""]",WP09C00435,B_o004_r00745,False,2,XP001,True,WP09C00412,B_o004_r00769
WP09C00412,"[""EDD_C22""]",WP09C00412,B_o004_r00769,True,1,XP002,False,WP09C00435,B_o004_r00745
WP09C00412,"[""EDD_C22""]",WP09C00435,B_o004_r00745,False,2,XP002,True,WP09C00412,B_o004_r00747
WP09C00412,[],WP09C00412,B_o004_r00747,False,3,XP002,False,WP09C00412,B_o004_r00771
WP09C00483,"[""EDD_C22""]",WP09C00483,B_o005_r00867,True,1,XP003,False,WP09C00506,B_o005_r00865
WP09C00483,"[""EDD_C22""]",WP09C00506,B_o005_r00865,False,2,XP003,True,WP09C00483,B_o005_r00889
WP09C00483,"[""EDD_C22""]",WP09C00483,B_o005_r00889,True,1,XP004,False,WP09C00506,B_o005_r00865
WP09C00483,"[""EDD_C22""]",WP09C00506,B_o005_r00865,False,2,XP004,True,WP09C00483,B_o005_r00867
WP09C00483,[],WP09C00483,B_o005_r00867,False,3,XP004,False,WP09C00483,B_o005_r00891
WP09C00654,"[""EDD_C22""]",WP09C00654,B_o008_r01227,True,1,XP005,False,WP09C00679,B_o008_r01225
WP09C00654,"[""EDD_C22""]",WP09C00679,B_o008_r01225,False,2,XP005,True,WP09C00654,B_o008_r01249
WP09C00654,"[""EDD_C22""]",WP09C00654,B_o008_r01249,True,1,XP006,False,WP09C00679,B_o008_r01225
WP09C00654,"[""EDD_C22""]",WP09C00679,B_o008_r01225,False,2,XP006,True,WP09C00654,B_o008_r01227
WP09C00654,[],WP09C00654,B_o008_r01227,False,3,XP006,False,WP09C00654,B_o008_r01251
WP09C00718,"[""EDD_C22""]",WP09C00718,B_o009_r01347,True,1,XP007,False,WP09C00743,B_o009_r01345
WP09C00718,"[""EDD_C22""]",WP09C00743,B_o009_r01345,False,2,XP007,True,WP09C00718,B_o009_r01369
WP09C00718,"[""EDD_C22""]",WP09C00718,B_o009_r01369,True,1,XP008,False,WP09C00743,B_o009_r01345
WP09C00718,"[""EDD_C22""]",WP09C00743,B_o009_r01345,False,2,XP008,True,WP09C00718,B_o009_r01347
WP09C00718,[],WP09C00718,B_o009_r01347,False,3,XP008,False,WP09C00718,B_o009_r01371
WP09C01026,"[""EDD_C22""]",WP09C01026,B_o013_r01815,True,1,XP009,False,WP09C00962,B_o013_r01813
WP09C01026,"[""EDD_C22""]",WP09C00962,B_o013_r01813,False,2,XP009,True,WP09C01026,B_o013_r01837
WP09C01026,"[""EDD_C22""]",WP09C01026,B_o013_r01837,True,1,XP010,False,WP09C00962,B_o013_r01813
WP09C01026,"[""EDD_C22""]",WP09C00962,B_o013_r01813,False,2,XP010,True,WP09C01026,B_o013_r01815
WP09C01026,[],WP09C01026,B_o013_r01815,False,3,XP010,False,WP09C01026,B_o013_r01839
WP09C01104,"[""EDD_C22""]",WP09C01104,B_o014_r01935,True,1,XP011,False,WP09C01040,B_o014_r01933
WP09C01104,"[""EDD_C22""]",WP09C01040,B_o014_r01933,False,2,XP011,True,WP09C01104,B_o014_r01957
WP09C01104,"[""EDD_C22""]",WP09C01104,B_o014_r01957,True,1,XP012,False,WP09C01040,B_o014_r01933
WP09C01104,"[""EDD_C22""]",WP09C01040,B_o014_r01933,False,2,XP012,True,WP09C01104,B_o014_r01935
WP09C01104,[],WP09C01104,B_o014_r01935,False,3,XP012,False,WP09C01104,B_o014_r01959
WP09C01158,"[""EDD_C22""]",WP09C01158,B_o015_r02055,True,1,XP013,False,WP09C01117,B_o015_r02053
WP09C01158,"[""EDD_C22""]",WP09C01117,B_o015_r02053,False,2,XP013,True,WP09C01158,B_o015_r02077
WP09C01158,"[""EDD_C22""]",WP09C01158,B_o015_r02077,True,1,XP014,False,WP09C01117,B_o015_r02053
WP09C01158,"[""EDD_C22""]",WP09C01117,B_o015_r02053,False,2,XP014,True,WP09C01158,B_o015_r02055
WP09C01158,[],WP09C01158,B_o015_r02055,False,3,XP014,False,WP09C01158,B_o015_r02079
WP09C01626,"[""EDD_C22""]",WP09C01626,B_o023_r03015,True,1,XP015,False,WP09C01566,B_o023_r03013
WP09C01626,"[""EDD_C22""]",WP09C01566,B_o023_r03013,False,2,XP015,True,WP09C01626,B_o023_r03037
WP09C01626,"[""EDD_C22""]",WP09C01626,B_o023_r03037,True,1,XP016,False,WP09C01566,B_o023_r03013
WP09C01626,"[""EDD_C22""]",WP09C01566,B_o023_r03013,False,2,XP016,True,WP09C01626,B_o023_r03015
WP09C01626,[],WP09C01626,B_o023_r03015,False,3,XP016,False,WP09C01626,B_o023_r03039
WP09C01703,"[""EDD_C22""]",WP09C01703,B_o024_r03135,True,1,XP017,False,WP09C01643,B_o024_r03133
WP09C01703,"[""EDD_C22""]",WP09C01643,B_o024_r03133,False,2,XP017,True,WP09C01703,B_o024_r03157
WP09C01703,"[""EDD_C22""]",WP09C01703,B_o024_r03157,True,1,XP018,False,WP09C01643,B_o024_r03133
WP09C01703,"[""EDD_C22""]",WP09C01643,B_o024_r03133,False,2,XP018,True,WP09C01703,B_o024_r03135
WP09C01703,[],WP09C01703,B_o024_r03135,False,3,XP018,False,WP09C01703,B_o024_r03159
WP09C01713,"[""EDD_C22""]",WP09C01713,B_o025_r03315,True,1,XP019,False,WP09C01748,B_o025_r03313
WP09C01713,"[""EDD_C22""]",WP09C01748,B_o025_r03313,False,2,XP019,True,WP09C01713,B_o025_r03319
WP09C01713,"[""EDD_C22""]",WP09C01713,B_o025_r03319,True,1,XP020,False,WP09C01748,B_o025_r03313
WP09C01713,"[""EDD_C22""]",WP09C01748,B_o025_r03313,False,2,XP020,True,WP09C01713,B_o025_r03315
WP09C01713,[],WP09C01713,B_o025_r03315,False,3,XP020,False,WP09C01713,B_o025_r03321
WP09C01757,"[""EDD_C22""]",WP09C01757,B_o025_r03255,True,1,XP021,False,WP09C01719,B_o025_r03253
WP09C01757,"[""EDD_C22""]",WP09C01719,B_o025_r03253,False,2,XP021,True,WP09C01757,B_o025_r03277
WP09C01757,"[""EDD_C22""]",WP09C01757,B_o025_r03277,True,1,XP022,False,WP09C01719,B_o025_r03253
WP09C01757,"[""EDD_C22""]",WP09C01719,B_o025_r03253,False,2,XP022,True,WP09C01757,B_o025_r03255
WP09C01757,[],WP09C01757,B_o025_r03255,False,3,XP022,False,WP09C01757,B_o025_r03279
