instance_id,reason,closure_count,FULL_family_count,equivalence_valid
n3_o002_r0008,closure_count>1,2,1,True
n3_o002_r0010,closure_count>1,2,1,True
n3_o003_r0017,closure_count>1,2,1,True
n3_o003_r0018,closure_count>1,2,1,True
n3_o004_r0020,closure_count>1,2,1,True
n3_o004_r0022,closure_count>1,2,1,True
n3_o004_r0024,closure_count>1,2,1,True
n3_o005_r0029,closure_count>1,2,1,True
n3_o005_r0030,closure_count>1,3,1,True
n3_o006_r0035,closure_count>1,2,1,True
n3_o006_r0036,closure_count>1,2,1,True
n3_o007_r0038,closure_count>1,2,1,True
n3_o007_r0040,closure_count>1,2,1,True
n3_o007_r0042,closure_count>1,2,1,True
n3_o008_r0047,closure_count>1,2,1,True
n3_o008_r0048,closure_count>1,3,1,True
n3_o009_r0053,closure_count>1,2,1,True
n3_o009_r0054,closure_count>1,2,1,True
n3_o010_r0057,closure_count>1,2,1,True
n3_o010_r0059,closure_count>1,3,1,True
n3_o010_r0060,closure_count>1,2,1,True
n4_o001_r0065,closure_count>1,2,1,True
n4_o001_r0066,closure_count>1,2,1,True
n4_o001_r0071,closure_count>1,2,1,True
n4_o001_r0072,closure_count>1,2,1,True
n4_o001_r0077,closure_count>1,2,1,True
n4_o001_r0078,closure_count>1,2,1,True
n4_o001_r0083,closure_count>1,2,1,True
n4_o001_r0084,closure_count>1,2,1,True
n4_o002_r0103,closure_count>1,2,1,True
n4_o002_r0104,closure_count>1,2,1,True
n4_o002_r0105,closure_count>1,2,1,True
n4_o002_r0106,closure_count>1,2,1,True
n4_o002_r0107,closure_count>1,3,1,True
n4_o002_r0108,closure_count>1,3,1,True
n4_o004_r0134,closure_count>1,2,1,True
n4_o004_r0136,closure_count>1,2,1,True
n4_o004_r0140,closure_count>1,2,1,True
n4_o004_r0142,closure_count>1,2,1,True
n4_o004_r0146,closure_count>1,2,1,True
n4_o004_r0148,closure_count>1,2,1,True
n4_o005_r0161,closure_count>1,2,1,True
n4_o005_r0162,closure_count>1,2,1,True
n4_o005_r0167,closure_count>1,2,1,True
n4_o005_r0168,closure_count>1,2,1,True
n4_o005_r0173,closure_count>1,2,1,True
n4_o005_r0174,closure_count>1,2,1,True
n4_o006_r0199,closure_count>1,2,1,True
n4_o006_r0200,closure_count>1,2,1,True
n4_o006_r0201,closure_count>1,2,1,True
n4_o006_r0202,closure_count>1,2,1,True
n4_o006_r0203,closure_count>1,2,1,True
n4_o006_r0204,closure_count>1,2,1,True
n4_o007_r0207,closure_count>1,2,1,True
n4_o007_r0213,closure_count>1,2,1,True
n4_o007_r0223,closure_count>1,2,1,True
n4_o007_r0224,closure_count>1,2,1,True
n4_o007_r0225,closure_count>1,2,1,True
n4_o007_r0226,closure_count>1,2,1,True
n4_o007_r0227,closure_count>1,2,1,True
n4_o007_r0228,closure_count>1,2,1,True
n4_o008_r0231,closure_count>1,2,1,True
n4_o008_r0237,closure_count>1,2,1,True
n4_o009_r0254,closure_count>1,2,1,True
n4_o009_r0255,closure_count>1,2,1,True
n4_o009_r0256,closure_count>1,2,1,True
n4_o009_r0260,closure_count>1,2,1,True
n4_o009_r0261,closure_count>1,2,1,True
n4_o009_r0262,closure_count>1,2,1,True
n4_o009_r0266,closure_count>1,2,1,True
n4_o009_r0268,closure_count>1,2,1,True
n4_o010_r0279,closure_count>1,2,1,True
n4_o010_r0281,closure_count>1,2,1,True
n4_o010_r0282,closure_count>1,2,1,True
n4_o010_r0285,closure_count>1,2,1,True
n4_o010_r0287,closure_count>1,2,1,True
n4_o010_r0288,closure_count>1,2,1,True
n4_o010_r0293,closure_count>1,2,1,True
n4_o010_r0294,closure_count>1,2,1,True
n4_o011_r0303,closure_count>1,2,1,True
n4_o011_r0309,closure_count>1,2,1,True
n4_o011_r0319,closure_count>1,2,1,True
n4_o011_r0320,closure_count>1,2,1,True
n4_o011_r0321,closure_count>1,2,1,True
n4_o011_r0322,closure_count>1,2,1,True
n4_o011_r0323,closure_count>1,2,1,True
n4_o011_r0324,closure_count>1,2,1,True
n4_o012_r0337,closure_count>1,2,1,True
n4_o012_r0339,closure_count>1,2,1,True
n4_o013_r0350,closure_count>1,2,1,True
n4_o013_r0352,closure_count>1,3,1,True
n4_o013_r0356,closure_count>1,2,1,True
n4_o013_r0358,closure_count>1,3,1,True
n4_o013_r0361,closure_count>1,2,1,True
n4_o013_r0362,closure_count>1,2,1,True
n4_o013_r0363,closure_count>1,2,1,True
n4_o013_r0364,closure_count>1,2,1,True
n4_o014_r0376,closure_count>1,2,1,True
n4_o014_r0377,closure_count>1,2,1,True
n4_o014_r0378,closure_count>1,4,1,True
n4_o014_r0382,closure_count>1,2,1,True
n4_o014_r0383,closure_count>1,2,1,True
n4_o014_r0384,closure_count>1,4,1,True
n4_o014_r0385,closure_count>1,2,1,True
n4_o014_r0387,closure_count>1,2,1,True
n4_o014_r0389,closure_count>1,2,1,True
n4_o014_r0390,closure_count>1,2,1,True
n4_o015_r0400,closure_count>1,2,1,True
n4_o015_r0402,closure_count>1,2,1,True
n4_o015_r0406,closure_count>1,2,1,True
n4_o015_r0408,closure_count>1,2,1,True
n4_o015_r0409,closure_count>1,2,1,True
n4_o015_r0411,closure_count>1,2,1,True
n4_o015_r0415,closure_count>1,2,1,True
n4_o015_r0416,closure_count>1,2,1,True
n4_o015_r0417,closure_count>1,2,1,True
n4_o015_r0418,closure_count>1,2,1,True
n4_o015_r0419,closure_count>1,2,1,True
n4_o015_r0420,closure_count>1,2,1,True
n4_o016_r0422,closure_count>1,2,1,True
n4_o016_r0428,closure_count>1,2,1,True
n4_o016_r0434,closure_count>1,3,1,True
n4_o016_r0436,closure_count>1,3,1,True
n4_o016_r0440,closure_count>1,2,1,True
n4_o016_r0442,closure_count>1,2,1,True
n4_o016_r0443,closure_count>1,2,1,True
n4_o016_r0444,closure_count>1,2,1,True
n4_o017_r0449,closure_count>1,2,1,True
