D,Delta_max,Delta_min,Delta_values,M_K_v2_hash,P,class_id,class_size,d_multiset,n,p_multiset,sign_reversal,sign_set,tau_den,tau_num
6,-1,-1,[-1],0215d5b4e88ae28304322f7138a51224d05716eb6772c69ada54d471b8a7b816,6,V2C00001,1,"[1,2,3]",3,"[1,2,3]",False,"[""negative""]",3,2
6,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00002,1,"[1,2,3]",3,"[1,2,3]",False,"[""zero""]",3,2
6,0,0,[0],6a3e674186df831d466b785bd10edc314ff7f21337e032dbb0cc61e4b7695872,6,V2C00003,1,"[1,2,3]",3,"[1,2,3]",False,"[""zero""]",3,2
6,-1,-1,[-1],7679cb0a97687f28e5cb1e9eafe594de0ef95813c46a613ca46672dd007b42ee,6,V2C00004,1,"[1,2,3]",3,"[1,2,3]",False,"[""negative""]",3,2
6,-2,-2,[-2],9126cbac6d28b190beb5388e898be7719fe1bc9d55c1c3f54ff236ee0e105be8,6,V2C00005,1,"[1,2,3]",3,"[1,2,3]",False,"[""negative""]",3,2
6,-2,-2,[-2],d4b78c402789d06a1173c1c9883cbbd23a26d9294ea5fef7696c3fb664fbb6b9,6,V2C00006,1,"[1,2,3]",3,"[1,2,3]",False,"[""negative""]",3,2
7,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00007,1,"[1,2,4]",3,"[1,2,3]",False,"[""zero""]",18,11
7,0,0,[0],6a3e674186df831d466b785bd10edc314ff7f21337e032dbb0cc61e4b7695872,6,V2C00008,1,"[1,2,4]",3,"[1,2,3]",False,"[""zero""]",18,11
7,0,0,[0],7679cb0a97687f28e5cb1e9eafe594de0ef95813c46a613ca46672dd007b42ee,6,V2C00009,1,"[1,2,4]",3,"[1,2,3]",False,"[""zero""]",18,11
7,-1,-1,[-1],d4b78c402789d06a1173c1c9883cbbd23a26d9294ea5fef7696c3fb664fbb6b9,6,V2C00010,1,"[1,2,4]",3,"[1,2,3]",False,"[""negative""]",18,11
8,0,0,[0],0fc3d9f311060b0d12033dd6210d664eee8e9555dbc285dfb36b8e9dcb069735,6,V2C00011,1,"[1,2,5]",3,"[1,2,3]",False,"[""zero""]",9,5
8,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00012,1,"[1,2,5]",3,"[1,2,3]",False,"[""zero""]",9,5
8,0,0,[0],6a3e674186df831d466b785bd10edc314ff7f21337e032dbb0cc61e4b7695872,6,V2C00013,1,"[1,2,5]",3,"[1,2,3]",False,"[""zero""]",9,5
8,1,1,[1],a205485805c82f259c1bc5126ca842b7da7dc6fcb3b11309c204f61cfd9e7369,6,V2C00014,1,"[1,2,5]",3,"[1,2,3]",False,"[""positive""]",9,5
8,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00015,1,"[1,3,4]",3,"[1,2,3]",False,"[""zero""]",9,5
8,0,0,[0],7679cb0a97687f28e5cb1e9eafe594de0ef95813c46a613ca46672dd007b42ee,6,V2C00016,1,"[1,3,4]",3,"[1,2,3]",False,"[""zero""]",9,5
8,1,1,[1],ca61e48ce21526dd88c23e3aabc8ad0068cd2ec15375fccb078a0ea2cf1faaa8,6,V2C00017,1,"[1,3,4]",3,"[1,2,3]",False,"[""positive""]",9,5
9,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00018,1,"[1,3,5]",3,"[1,2,3]",False,"[""zero""]",2,1
9,1,1,[1],781da1798da576ab6a578931d3b1d19635e99831834928f2d1d472df5148557c,6,V2C00019,1,"[1,3,5]",3,"[1,2,3]",False,"[""positive""]",2,1
9,1,1,[1],a205485805c82f259c1bc5126ca842b7da7dc6fcb3b11309c204f61cfd9e7369,6,V2C00020,1,"[1,3,5]",3,"[1,2,3]",False,"[""positive""]",2,1
9,1,1,[1],ca61e48ce21526dd88c23e3aabc8ad0068cd2ec15375fccb078a0ea2cf1faaa8,6,V2C00021,1,"[1,3,5]",3,"[1,2,3]",False,"[""positive""]",2,1
10,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00022,1,"[1,4,5]",3,"[1,2,3]",False,"[""zero""]",9,4
10,1,1,[1],a205485805c82f259c1bc5126ca842b7da7dc6fcb3b11309c204f61cfd9e7369,6,V2C00023,1,"[1,4,5]",3,"[1,2,3]",False,"[""positive""]",9,4
10,2,2,[2],a255fec15b3b5089d923fff372ad45afac747a96bfa6d82e95b319d5e9670f12,6,V2C00024,1,"[1,4,5]",3,"[1,2,3]",False,"[""positive""]",9,4
10,1,1,[1],ca61e48ce21526dd88c23e3aabc8ad0068cd2ec15375fccb078a0ea2cf1faaa8,6,V2C00025,1,"[1,4,5]",3,"[1,2,3]",False,"[""positive""]",9,4
9,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00026,1,"[2,3,4]",3,"[1,2,3]",False,"[""zero""]",2,1
9,0,0,[0],7679cb0a97687f28e5cb1e9eafe594de0ef95813c46a613ca46672dd007b42ee,6,V2C00027,1,"[2,3,4]",3,"[1,2,3]",False,"[""zero""]",2,1
9,1,1,[1],ca61e48ce21526dd88c23e3aabc8ad0068cd2ec15375fccb078a0ea2cf1faaa8,6,V2C00028,1,"[2,3,4]",3,"[1,2,3]",False,"[""positive""]",2,1
10,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00029,1,"[2,3,5]",3,"[1,2,3]",False,"[""zero""]",9,4
10,1,1,[1],781da1798da576ab6a578931d3b1d19635e99831834928f2d1d472df5148557c,6,V2C00030,1,"[2,3,5]",3,"[1,2,3]",False,"[""positive""]",9,4
10,1,1,[1],a205485805c82f259c1bc5126ca842b7da7dc6fcb3b11309c204f61cfd9e7369,6,V2C00031,1,"[2,3,5]",3,"[1,2,3]",False,"[""positive""]",9,4
10,1,1,[1],ca61e48ce21526dd88c23e3aabc8ad0068cd2ec15375fccb078a0ea2cf1faaa8,6,V2C00032,1,"[2,3,5]",3,"[1,2,3]",False,"[""positive""]",9,4
11,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00033,1,"[2,4,5]",3,"[1,2,3]",False,"[""zero""]",18,7
11,1,1,[1],a205485805c82f259c1bc5126ca842b7da7dc6fcb3b11309c204f61cfd9e7369,6,V2C00034,1,"[2,4,5]",3,"[1,2,3]",False,"[""positive""]",18,7
11,2,2,[2],a255fec15b3b5089d923fff372ad45afac747a96bfa6d82e95b319d5e9670f12,6,V2C00035,1,"[2,4,5]",3,"[1,2,3]",False,"[""positive""]",18,7
11,1,1,[1],ca61e48ce21526dd88c23e3aabc8ad0068cd2ec15375fccb078a0ea2cf1faaa8,6,V2C00036,1,"[2,4,5]",3,"[1,2,3]",False,"[""positive""]",18,7
12,0,0,[0],3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,6,V2C00037,1,"[3,4,5]",3,"[1,2,3]",False,"[""zero""]",3,1
12,1,1,[1],a205485805c82f259c1bc5126ca842b7da7dc6fcb3b11309c204f61cfd9e7369,6,V2C00038,1,"[3,4,5]",3,"[1,2,3]",False,"[""positive""]",3,1
12,2,2,[2],a255fec15b3b5089d923fff372ad45afac747a96bfa6d82e95b319d5e9670f12,6,V2C00039,1,"[3,4,5]",3,"[1,2,3]",False,"[""positive""]",3,1
10,-1,-1,[-1],1ef42d1fef5a957660137c9ca77259ee3551d6461c98a0b1606ec0d47567b568,10,V2C00040,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-3,-3,[-3],23e1bfba4197de51a573e007f8ad93a6c63abee1c285658bdddf36c716a7677b,10,V2C00041,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,0,0,[0],35fc9ce4259d0ea82513a1c12593793b28f6b55e3f82df003e797e0d5baac9cc,10,V2C00042,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""zero""]",4,3
10,-1,-2,"[-2,-1]",5025cd244c792ba3f4f9c7efe7b532d61de1ab964c94f2c441c110cbbfb4835c,10,V2C00043,2,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-4,-4,[-4],5991266d4872bb884b37d40be6de12c3290939dba2cd22cd97c56ba93b0fde6d,10,V2C00044,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-1,-1,[-1],5b806409e44b31351989101070c945c6dd40718dfc86b3160c10bbfc790d938c,10,V2C00045,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-3,-4,"[-4,-3]",5dde3d57d53c06e759ef30a2798f0930296cb9c89b7d91d5d104986e589ec7ad,10,V2C00046,2,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-6,-6,[-6],61716232ff087d5c7c9f273ad0ebe482eda7757eb5c348a36cabcc73abd000e0,10,V2C00047,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-1,-2,"[-2,-1]",a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87,10,V2C00048,2,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-5,-5,[-5],aa7d695a59021581b8cf1b0f029208478d2bda2488b997a3484ab26c2c5efcba,10,V2C00049,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,-3,-3,[-3],aac920d42175c0111569e218d1d5ddf9eb4a6fdca7cd09bee48ecf84934b5f94,10,V2C00050,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
10,0,0,[0],f0d586f89a64f76dce1a004fb5f4c1c82ee7a6f54e0d20b8a1425af0f72ca027,10,V2C00051,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""zero""]",4,3
10,-5,-5,[-5],fdb7459cf9013649180f6d52c62a5c4697ab69c6f9d1a884811294a49d65096a,10,V2C00052,1,"[1,2,3,4]",4,"[1,2,3,4]",False,"[""negative""]",4,3
