M_K_v2_hash,M_K_v2_serialized,instance_id
3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[2,3]],""EDD_C22"":true,""GEOM4"":[true,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3]],""S_beta"":[1,2,3],""BETA_STATUS"":[""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[]}]}",n3_o001_r0001
0215d5b4e88ae28304322f7138a51224d05716eb6772c69ada54d471b8a7b816,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[2,3]],""EDD_C22"":false,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3]],""S_beta"":[1,2,3],""BETA_STATUS"":[""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[1],3,[2]],[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[]}]}",n3_o001_r0002
6a3e674186df831d466b785bd10edc314ff7f21337e032dbb0cc61e4b7695872,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[2,3]],""EDD_C22"":true,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3]],""S_beta"":[1,2,3],""BETA_STATUS"":[""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[1,2]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[]}]}",n3_o001_r0003
9126cbac6d28b190beb5388e898be7719fe1bc9d55c1c3f54ff236ee0e105be8,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[2,3]],""EDD_C22"":false,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3]],""S_beta"":[1,2,3],""BETA_STATUS"":[""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],3,[1,2]],[2,[1],3,[2]],[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[]}]}",n3_o001_r0004
7679cb0a97687f28e5cb1e9eafe594de0ef95813c46a613ca46672dd007b42ee,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[2,1],[2,3]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3]],""S_beta"":[2,1,3],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[2],3,[1]],[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[]}]}",n3_o001_r0005
d4b78c402789d06a1173c1c9883cbbd23a26d9294ea5fef7696c3fb664fbb6b9,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[2,1],[2,3]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3]],""S_beta"":[2,1,3],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],3,[1,2]],[2,[2],3,[1]],[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[]}]}",n3_o001_r0006
3443cad6704c783f2185371dcdc3f76119a4214f748ba800a2b5f550b2e4ad41,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[2,3]],""EDD_C22"":true,""GEOM4"":[true,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3]],""S_beta"":[1,2,3],""BETA_STATUS"":[""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[1]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[]}]}",n3_o002_r0007
6a3e674186df831d466b785bd10edc314ff7f21337e032dbb0cc61e4b7695872,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,3],[2,3]],""EDD_C22"":true,""GEOM4"":[false,true,false,false],""G_beta_edges"":[[1,2],[1,3],[2,3]],""S_beta"":[1,2,3],""BETA_STATUS"":[""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[1,2]},{""prefix"":[1],""argmin"":[2]},{""prefix"":[1,2],""argmin"":[3]},{""prefix"":[1,2,3],""argmin"":[]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[]}]}",n3_o002_r0009
7679cb0a97687f28e5cb1e9eafe594de0ef95813c46a613ca46672dd007b42ee,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[2,1],[2,3]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3]],""S_beta"":[2,1,3],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[2],3,[1]],[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[]}]}",n3_o002_r0011
d4b78c402789d06a1173c1c9883cbbd23a26d9294ea5fef7696c3fb664fbb6b9,"{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[2,1],[2,3]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3]],""S_beta"":[2,1,3],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],3,[1,2]],[2,[2],3,[1]],[3,[1,2],3,[]]],""Q_exact"":[1,2,3],""h_key"":3,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[]}]}",n3_o002_r0012
