EDD_C22,Lawler,SPT_sufficient,TT_star,beta_optimal,exact_q_1,exact_q_2,exact_q_3,exact_q_4,instance_id,optimal_schedule_count,optimal_schedules
True,True,True,4,True,True,True,True,,n3_o001_r0001,1,"[[1,2,3]]"
True,True,True,4,True,True,True,True,,n3_o001_r0002,1,"[[1,2,3]]"
True,True,True,5,True,True,True,True,,n3_o001_r0003,2,"[[1,2,3],[2,1,3]]"
True,True,True,5,True,True,True,True,,n3_o001_r0004,1,"[[1,2,3]]"
True,True,True,5,True,True,True,True,,n3_o001_r0005,1,"[[2,1,3]]"
True,True,True,5,True,True,True,True,,n3_o001_r0006,1,"[[2,1,3]]"
True,True,True,3,True,True,True,True,,n3_o002_r0007,1,"[[1,2,3]]"
True,True,True,4,True,True,True,True,,n3_o002_r0008,2,"[[1,2,3],[1,3,2]]"
True,True,True,4,True,True,True,True,,n3_o002_r0009,2,"[[1,2,3],[2,1,3]]"
True,True,True,5,True,True,True,True,,n3_o002_r0010,2,"[[1,2,3],[1,3,2]]"
True,True,True,5,True,True,True,True,,n3_o002_r0011,1,"[[2,1,3]]"
True,True,True,5,True,True,True,True,,n3_o002_r0012,1,"[[2,1,3]]"
True,True,True,2,True,True,True,True,,n3_o003_r0013,1,"[[1,2,3]]"
True,True,True,3,True,True,True,True,,n3_o003_r0014,1,"[[1,3,2]]"
True,True,True,3,True,True,True,True,,n3_o003_r0015,2,"[[1,2,3],[2,1,3]]"
True,True,True,4,True,True,True,True,,n3_o003_r0016,1,"[[1,3,2]]"
True,True,True,5,True,True,True,True,,n3_o003_r0017,2,"[[2,1,3],[2,3,1]]"
True,True,True,5,True,True,True,True,,n3_o003_r0018,2,"[[2,1,3],[2,3,1]]"
True,True,True,2,True,True,True,True,,n3_o004_r0019,1,"[[1,2,3]]"
True,True,True,3,True,True,True,True,,n3_o004_r0020,2,"[[1,2,3],[1,3,2]]"
True,True,True,3,True,True,True,True,,n3_o004_r0021,1,"[[2,1,3]]"
True,True,True,5,True,True,True,True,,n3_o004_r0022,4,"[[1,2,3],[1,3,2],[2,1,3],[3,1,2]]"
True,True,True,4,True,True,True,True,,n3_o004_r0023,1,"[[2,1,3]]"
True,True,True,5,True,True,True,True,,n3_o004_r0024,3,"[[1,2,3],[2,1,3],[3,1,2]]"
True,True,True,1,True,True,True,True,,n3_o005_r0025,1,"[[1,2,3]]"
True,True,True,2,True,True,True,True,,n3_o005_r0026,1,"[[1,3,2]]"
True,True,True,2,True,True,True,True,,n3_o005_r0027,1,"[[2,1,3]]"
True,True,True,4,True,True,True,True,,n3_o005_r0028,2,"[[1,3,2],[3,1,2]]"
True,True,True,4,True,True,True,True,,n3_o005_r0029,2,"[[2,1,3],[2,3,1]]"
True,True,True,5,True,True,True,True,,n3_o005_r0030,5,"[[1,2,3],[2,1,3],[2,3,1],[3,1,2],[3,2,1]]"
True,True,True,1,True,True,True,True,,n3_o006_r0031,1,"[[1,2,3]]"
True,True,True,1,True,True,True,True,,n3_o006_r0032,1,"[[1,3,2]]"
True,True,True,2,True,True,True,True,,n3_o006_r0033,1,"[[2,1,3]]"
True,True,True,3,True,True,True,True,,n3_o006_r0034,1,"[[3,1,2]]"
True,True,True,3,True,True,True,True,,n3_o006_r0035,2,"[[2,1,3],[2,3,1]]"
True,True,True,4,True,True,True,True,,n3_o006_r0036,2,"[[3,1,2],[3,2,1]]"
True,True,True,2,True,True,True,True,,n3_o007_r0037,1,"[[1,2,3]]"
True,True,True,3,True,True,True,True,,n3_o007_r0038,2,"[[1,2,3],[1,3,2]]"
True,True,True,2,True,True,True,True,,n3_o007_r0039,1,"[[2,1,3]]"
True,True,True,4,True,True,True,True,,n3_o007_r0040,4,"[[1,2,3],[1,3,2],[2,1,3],[3,1,2]]"
