class_id,low_instance_id,high_instance_id,Delta_min,Delta_max,sign_reversal
V2C00043,n4_o001_r0069,n4_o001_r0063,-2,-1,False
V2C00046,n4_o001_r0081,n4_o001_r0079,-4,-3,False
V2C00048,n4_o001_r0075,n4_o001_r0073,-2,-1,False
V2C00056,n4_o002_r0093,n4_o002_r0087,-2,-1,False
V2C00060,n4_o002_r0099,n4_o002_r0097,-2,-1,False
V2C00063,n4_o002_r0095,n4_o002_r0089,-2,-1,False
V2C00071,n4_o003_r0117,n4_o003_r0111,-2,-1,False
V2C00072,n4_o003_r0129,n4_o003_r0127,-2,-1,False
V2C00077,n4_o003_r0123,n4_o003_r0121,-2,-1,False
V2C00081,n4_o003_r0119,n4_o003_r0113,-1,0,False
V2C00090,n4_o004_r0141,n4_o004_r0135,-2,-1,False
V2C00091,n4_o004_r0153,n4_o004_r0151,-1,0,False
V2C00094,n4_o004_r0147,n4_o004_r0145,-2,-1,False
V2C00096,n4_o004_r0143,n4_o004_r0137,0,1,False
V2C00105,n4_o005_r0165,n4_o005_r0159,-2,-1,False
V2C00107,n4_o005_r0177,n4_o005_r0175,0,1,False
V2C00111,n4_o005_r0171,n4_o005_r0169,-2,-1,False
V2C00120,n4_o006_r0189,n4_o006_r0183,-2,-1,False
V2C00126,n4_o006_r0195,n4_o006_r0193,-2,-1,False
V2C00129,n4_o006_r0191,n4_o006_r0185,2,3,False
V2C00138,n4_o007_r0219,n4_o007_r0217,-1,0,False
V2C00141,n4_o007_r0215,n4_o007_r0209,-2,-1,False
V2C00151,n4_o008_r0249,n4_o008_r0247,-2,-1,False
V2C00155,n4_o008_r0243,n4_o008_r0241,-1,0,False
V2C00158,n4_o008_r0239,n4_o008_r0233,-1,0,False
V2C00169,n4_o009_r0273,n4_o009_r0271,-1,0,False
V2C00171,n4_o009_r0267,n4_o009_r0265,-1,0,False
V2C00172,n4_o009_r0263,n4_o009_r0257,0,1,False
V2C00183,n4_o010_r0297,n4_o010_r0295,0,1,False
V2C00187,n4_o010_r0291,n4_o010_r0289,-1,0,False
V2C00199,n4_o011_r0315,n4_o011_r0313,-1,0,False
V2C00214,n4_o012_r0345,n4_o012_r0343,-2,-1,False
V2C00221,n4_o012_r0335,n4_o012_r0329,-1,0,False
V2C00232,n4_o013_r0369,n4_o013_r0367,-1,0,False
V2C00236,n4_o013_r0359,n4_o013_r0353,0,1,False
V2C00245,n4_o014_r0393,n4_o014_r0391,0,1,False
V2C00270,n4_o016_r0441,n4_o016_r0439,-1,0,False
V2C00273,n4_o016_r0431,n4_o016_r0425,0,1,False
V2C00281,n4_o017_r0465,n4_o017_r0463,0,1,False
V2C00309,n4_o019_r0513,n4_o019_r0511,0,1,False
V2C00362,n4_o022_r0577,n4_o022_r0571,0,1,False
V2C00895,n4_o057_r1417,n4_o057_r1411,0,1,False
