Delta_change,category,changed_p_ranks,class_id,exact_identity,pattern,responsible_p_ranks
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00043,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00046,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00048,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00056,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00060,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00063,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00071,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00072,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00077,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00081,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00090,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00091,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00094,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00096,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00105,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
