Delta,class_id,completion,delta_j,due_date,instance_side,p_rank,schedule,sequence_position,tardiness
-2,V2C00043,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00043,3,-3,3,low_SPT,2,SPT,2,0
-2,V2C00043,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00043,10,0,4,low_SPT,4,SPT,4,6
-1,V2C00043,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00043,3,-3,3,high_SPT,2,SPT,2,0
-1,V2C00043,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00043,10,0,4,high_SPT,4,SPT,4,6
-2,V2C00043,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00043,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00043,6,-3,3,low_EDD,2,EDD,3,3
-2,V2C00043,10,0,4,low_EDD,4,EDD,4,6
-1,V2C00043,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00043,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00043,6,-3,3,high_EDD,2,EDD,3,3
-1,V2C00043,10,0,4,high_EDD,4,EDD,4,6
-4,V2C00046,1,-6,4,low_SPT,1,SPT,1,0
-4,V2C00046,3,-2,2,low_SPT,2,SPT,2,1
-4,V2C00046,6,3,1,low_SPT,3,SPT,3,5
-4,V2C00046,10,1,3,low_SPT,4,SPT,4,7
-3,V2C00046,1,-6,4,high_SPT,1,SPT,1,0
-3,V2C00046,3,1,1,high_SPT,2,SPT,2,2
-3,V2C00046,6,1,2,high_SPT,3,SPT,3,4
-3,V2C00046,10,1,3,high_SPT,4,SPT,4,7
-4,V2C00046,3,3,1,low_EDD,3,EDD,1,2
-4,V2C00046,5,-2,2,low_EDD,2,EDD,2,3
-4,V2C00046,9,1,3,low_EDD,4,EDD,3,6
-4,V2C00046,10,-6,4,low_EDD,1,EDD,4,6
-3,V2C00046,2,1,1,high_EDD,2,EDD,1,1
-3,V2C00046,5,1,2,high_EDD,3,EDD,2,3
-3,V2C00046,9,1,3,high_EDD,4,EDD,3,6
-3,V2C00046,10,-6,4,high_EDD,1,EDD,4,6
-2,V2C00048,1,-3,3,low_SPT,1,SPT,1,0
-2,V2C00048,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00048,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00048,10,0,4,low_SPT,4,SPT,4,6
-1,V2C00048,1,-3,3,high_SPT,1,SPT,1,0
-1,V2C00048,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00048,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00048,10,0,4,high_SPT,4,SPT,4,6
-2,V2C00048,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00048,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00048,6,-3,3,low_EDD,1,EDD,3,3
-2,V2C00048,10,0,4,low_EDD,4,EDD,4,6
-1,V2C00048,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00048,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00048,6,-3,3,high_EDD,1,EDD,3,3
-1,V2C00048,10,0,4,high_EDD,4,EDD,4,6
-2,V2C00056,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00056,3,-3,3,low_SPT,2,SPT,2,0
