EDD_tardiness_change,SPT_tardiness_change,class_id,delta_contribution,delta_high,delta_low,p_rank
-2,0,V2C00043,2,0,-2,1
0,0,V2C00043,0,-3,-3,2
0,-1,V2C00043,-1,2,3,3
0,0,V2C00043,0,0,0,4
-2,-1,V2C00043,1,,,TOTAL
0,0,V2C00046,0,-6,-6,1
-2,1,V2C00046,3,1,-2,2
1,-1,V2C00046,-2,1,3,3
0,0,V2C00046,0,1,1,4
-1,0,V2C00046,1,,,TOTAL
0,0,V2C00048,0,-3,-3,1
-2,1,V2C00048,3,1,-2,2
1,-1,V2C00048,-2,1,3,3
0,0,V2C00048,0,0,0,4
-1,0,V2C00048,1,,,TOTAL
-2,0,V2C00056,2,0,-2,1
0,0,V2C00056,0,-3,-3,2
0,-1,V2C00056,-1,2,3,3
0,0,V2C00056,0,0,0,4
-2,-1,V2C00056,1,,,TOTAL
0,0,V2C00060,0,-3,-3,1
-2,1,V2C00060,3,1,-2,2
1,-1,V2C00060,-2,1,3,3
0,0,V2C00060,0,0,0,4
-1,0,V2C00060,1,,,TOTAL
-2,0,V2C00063,2,0,-2,1
0,0,V2C00063,0,-5,-5,2
0,-1,V2C00063,-1,2,3,3
0,0,V2C00063,0,2,2,4
-2,-1,V2C00063,1,,,TOTAL
-2,0,V2C00071,2,0,-2,1
0,0,V2C00071,0,-3,-3,2
0,-1,V2C00071,-1,2,3,3
0,0,V2C00071,0,0,0,4
-2,-1,V2C00071,1,,,TOTAL
0,0,V2C00072,0,-4,-4,1
-2,1,V2C00072,3,1,-2,2
1,-1,V2C00072,-2,1,3,3
0,0,V2C00072,0,1,1,4
-1,0,V2C00072,1,,,TOTAL
0,0,V2C00077,0,-3,-3,1
-2,1,V2C00077,3,1,-2,2
1,-1,V2C00077,-2,1,3,3
0,0,V2C00077,0,0,0,4
-1,0,V2C00077,1,,,TOTAL
-2,0,V2C00081,2,0,-2,1
0,0,V2C00081,0,-4,-4,2
0,-1,V2C00081,-1,2,3,3
0,0,V2C00081,0,2,2,4
-2,-1,V2C00081,1,,,TOTAL
-2,0,V2C00090,2,0,-2,1
0,0,V2C00090,0,-3,-3,2
0,-1,V2C00090,-1,2,3,3
0,0,V2C00090,0,0,0,4
-2,-1,V2C00090,1,,,TOTAL
0,0,V2C00091,0,-3,-3,1
-2,1,V2C00091,3,1,-2,2
1,-1,V2C00091,-2,1,3,3
0,0,V2C00091,0,1,1,4
-1,0,V2C00091,1,,,TOTAL
0,0,V2C00094,0,-3,-3,1
-2,1,V2C00094,3,1,-2,2
1,-1,V2C00094,-2,1,3,3
0,0,V2C00094,0,0,0,4
-1,0,V2C00094,1,,,TOTAL
-2,0,V2C00096,2,0,-2,1
0,0,V2C00096,0,-3,-3,2
0,-1,V2C00096,-1,2,3,3
0,0,V2C00096,0,2,2,4
-2,-1,V2C00096,1,,,TOTAL
-2,0,V2C00105,2,0,-2,1
0,0,V2C00105,0,-3,-3,2
0,-1,V2C00105,-1,2,3,3
0,0,V2C00105,0,0,0,4
-2,-1,V2C00105,1,,,TOTAL
0,0,V2C00107,0,-2,-2,1
-2,1,V2C00107,3,1,-2,2
1,-1,V2C00107,-2,1,3,3
0,0,V2C00107,0,1,1,4
-1,0,V2C00107,1,,,TOTAL
0,0,V2C00111,0,-3,-3,1
-2,1,V2C00111,3,1,-2,2
1,-1,V2C00111,-2,1,3,3
0,0,V2C00111,0,0,0,4
-1,0,V2C00111,1,,,TOTAL
-2,0,V2C00120,2,0,-2,1
0,0,V2C00120,0,-3,-3,2
0,-1,V2C00120,-1,2,3,3
0,0,V2C00120,0,0,0,4
-2,-1,V2C00120,1,,,TOTAL
0,0,V2C00126,0,-3,-3,1
-2,1,V2C00126,3,1,-2,2
1,-1,V2C00126,-2,1,3,3
0,0,V2C00126,0,0,0,4
-1,0,V2C00126,1,,,TOTAL
-2,0,V2C00129,2,0,-2,1
0,0,V2C00129,0,-1,-1,2
0,-1,V2C00129,-1,2,3,3
0,0,V2C00129,0,2,2,4
-2,-1,V2C00129,1,,,TOTAL
0,0,V2C00138,0,-2,-2,1
-2,1,V2C00138,3,1,-2,2
1,-1,V2C00138,-2,1,3,3
0,0,V2C00138,0,0,0,4
-1,0,V2C00138,1,,,TOTAL
-2,0,V2C00141,2,0,-2,1
0,0,V2C00141,0,-5,-5,2
0,-1,V2C00141,-1,2,3,3
0,0,V2C00141,0,2,2,4
-2,-1,V2C00141,1,,,TOTAL
0,0,V2C00151,0,-4,-4,1
-2,1,V2C00151,3,1,-2,2
1,-1,V2C00151,-2,1,3,3
0,0,V2C00151,0,1,1,4
-1,0,V2C00151,1,,,TOTAL
0,0,V2C00155,0,-2,-2,1
-2,1,V2C00155,3,1,-2,2
1,-1,V2C00155,-2,1,3,3
0,0,V2C00155,0,0,0,4
-1,0,V2C00155,1,,,TOTAL
-2,0,V2C00158,2,0,-2,1
0,0,V2C00158,0,-4,-4,2
0,-1,V2C00158,-1,2,3,3
0,0,V2C00158,0,2,2,4
-2,-1,V2C00158,1,,,TOTAL
0,0,V2C00169,0,-3,-3,1
-2,1,V2C00169,3,1,-2,2
1,-1,V2C00169,-2,1,3,3
0,0,V2C00169,0,1,1,4
-1,0,V2C00169,1,,,TOTAL
0,0,V2C00171,0,-2,-2,1
-2,1,V2C00171,3,1,-2,2
1,-1,V2C00171,-2,1,3,3
0,0,V2C00171,0,0,0,4
-1,0,V2C00171,1,,,TOTAL
-2,0,V2C00172,2,0,-2,1
0,0,V2C00172,0,-3,-3,2
0,-1,V2C00172,-1,2,3,3
0,0,V2C00172,0,2,2,4
-2,-1,V2C00172,1,,,TOTAL
0,0,V2C00183,0,-2,-2,1
-2,1,V2C00183,3,1,-2,2
1,-1,V2C00183,-2,1,3,3
0,0,V2C00183,0,1,1,4
-1,0,V2C00183,1,,,TOTAL
0,0,V2C00187,0,-2,-2,1
-2,1,V2C00187,3,1,-2,2
1,-1,V2C00187,-2,1,3,3
0,0,V2C00187,0,0,0,4
-1,0,V2C00187,1,,,TOTAL
0,0,V2C00199,0,-2,-2,1
-2,1,V2C00199,3,1,-2,2
1,-1,V2C00199,-2,1,3,3
0,0,V2C00199,0,0,0,4
-1,0,V2C00199,1,,,TOTAL
0,0,V2C00214,0,-4,-4,1
-2,1,V2C00214,3,1,-2,2
1,-1,V2C00214,-2,1,3,3
0,0,V2C00214,0,1,1,4
-1,0,V2C00214,1,,,TOTAL
-2,0,V2C00221,2,0,-2,1
0,0,V2C00221,0,-4,-4,2
0,-1,V2C00221,-1,2,3,3
0,0,V2C00221,0,2,2,4
-2,-1,V2C00221,1,,,TOTAL
0,0,V2C00232,0,-3,-3,1
-2,1,V2C00232,3,1,-2,2
1,-1,V2C00232,-2,1,3,3
0,0,V2C00232,0,1,1,4
-1,0,V2C00232,1,,,TOTAL
-2,0,V2C00236,2,0,-2,1
0,0,V2C00236,0,-3,-3,2
0,-1,V2C00236,-1,2,3,3
0,0,V2C00236,0,2,2,4
-2,-1,V2C00236,1,,,TOTAL
0,0,V2C00245,0,-2,-2,1
-2,1,V2C00245,3,1,-2,2
1,-1,V2C00245,-2,1,3,3
0,0,V2C00245,0,1,1,4
-1,0,V2C00245,1,,,TOTAL
0,0,V2C00270,0,-3,-3,1
-2,1,V2C00270,3,1,-2,2
1,-1,V2C00270,-2,1,3,3
0,0,V2C00270,0,1,1,4
-1,0,V2C00270,1,,,TOTAL
-2,0,V2C00273,2,0,-2,1
0,0,V2C00273,0,-3,-3,2
0,-1,V2C00273,-1,2,3,3
0,0,V2C00273,0,2,2,4
-2,-1,V2C00273,1,,,TOTAL
0,0,V2C00281,0,-2,-2,1
-2,1,V2C00281,3,1,-2,2
1,-1,V2C00281,-2,1,3,3
0,0,V2C00281,0,1,1,4
-1,0,V2C00281,1,,,TOTAL
0,0,V2C00309,0,-2,-2,1
