EDD_changed,EDD_high,EDD_low,changed_p_ranks,class_id,cycles,due_rank_distance,high_due_ranks,low_due_ranks,min_transpositions,pattern,position_mapping
True,"[1,3,2,4]","[3,1,2,4]","[1,3]",V2C00043,"[[1,3],[2],[4]]",1,"[1,3,2,4]","[2,3,1,4]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00046,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,3,1,4]","[3,2,1,4]","[2,3]",V2C00048,"[[1],[2,3],[4]]",1,"[3,1,2,4]","[3,2,1,4]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[1,3,2,4]","[3,1,2,4]","[1,3]",V2C00056,"[[1,3],[2],[4]]",1,"[1,3,2,4]","[2,3,1,4]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,3,1,4]","[3,2,1,4]","[2,3]",V2C00060,"[[1],[2,3],[4]]",1,"[3,1,2,4]","[3,2,1,4]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[1,3,4,2]","[3,1,4,2]","[1,3]",V2C00063,"[[1,3],[2],[4]]",1,"[1,4,2,3]","[2,4,1,3]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[1,3,2,4]","[3,1,2,4]","[1,3]",V2C00071,"[[1,3],[2],[4]]",1,"[1,3,2,4]","[2,3,1,4]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00072,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,3,1,4]","[3,2,1,4]","[2,3]",V2C00077,"[[1],[2,3],[4]]",1,"[3,1,2,4]","[3,2,1,4]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[1,3,4,2]","[3,1,4,2]","[1,3]",V2C00081,"[[1,3],[2],[4]]",1,"[1,4,2,3]","[2,4,1,3]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[1,3,2,4]","[3,1,2,4]","[1,3]",V2C00090,"[[1,3],[2],[4]]",1,"[1,3,2,4]","[2,3,1,4]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[2,3,4,1]","[3,2,4,1]","[2,3]",V2C00091,"[[1],[2,3],[4]]",1,"[4,1,2,3]","[4,2,1,3]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[2,3,1,4]","[3,2,1,4]","[2,3]",V2C00094,"[[1],[2,3],[4]]",1,"[3,1,2,4]","[3,2,1,4]",1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[1,3,2,4]"
True,"[1,3,4,2]","[3,1,4,2]","[1,3]",V2C00096,"[[1,3],[2],[4]]",1,"[1,4,2,3]","[2,4,1,3]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
True,"[1,3,2,4]","[3,1,2,4]","[1,3]",V2C00105,"[[1,3],[2],[4]]",1,"[1,3,2,4]","[2,3,1,4]",1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[3,2,1,4]"
